"Month.of.Observation","Date","MEI","NPGO","NOI","SST_39","SST_44","Upwelling_39","Upwelling_45","Wind_39","Wind_44","ENSO_cat","Year.of.Observation","SST_39_anom","SST_44_anom","Date_lag1","Date_lag2","Date_lag3"
"APR",2007-04-01,0.026,0.26061866,1.956,10.126,10.51,132.0192,-2.7801,-4.73315,0.688811,"El Nino",2007,-0.706727272727273,-0.245000000000001,2007-04-01,2007-04-01,2007-04-01
"APR",2009-04-01,-0.106,0.4162877,3.125,9.141,9.634,170.7162,30.4379,-5.80819,-1.937552,"La Nina",2009,-1.69172727272727,-1.121,2009-04-01,2009-04-01,2009-04-01
"APR",2008-04-01,-0.858,1.3959782,4.419,9.3,9.331,130.2347,7.7472,-4.22837,-0.312117,"La Nina",2008,-1.53272727272727,-1.424,2008-04-01,2008-04-01,2008-04-01
"APR",2015-04-01,0.916,-1.3788626,0.631,10.997,10.681,173.3118,12.0515,-4.65509,-1.160793,"El Nino",2015,0.164272727272728,-0.0740000000000016,2015-04-01,2015-04-01,2015-04-01
"APR",2003-04-01,0.413,1.1017216,-2.628,11.366,10.828,-1.0366,-48.7164,0.64375,2.935097,"El Nino",2003,0.533272727272728,0.0729999999999986,2003-04-01,2003-04-01,2003-04-01
"APR",2014-04-01,0.295,-0.61755997,1.158,11.794,10.906,106.1267,-17.0369,-3.73805,0.282857,"El Nino",2014,0.961272727272728,0.151,2014-04-01,2014-04-01,2014-04-01
"APR",2013-04-01,0.09,0.4762448,2.727,10.01,10.195,279.8581,3.4779,-5.89819,-1.764485,"El Nino",2013,-0.822727272727272,-0.56,2013-04-01,2013-04-01,2013-04-01
"APR",2005-04-01,0.626,-1.6860675,0.287,11.944,11.521,87.9704,-29.8939,-2.75528,-0.321094,"El Nino",2005,1.11127272727273,0.766,2005-04-01,2005-04-01,2005-04-01
"APR",2016-04-01,2.094,-0.40044832,-1.135,12.004,12.59,115.8,-10.0043,-3.40319,-0.908217,"El Nino",2016,1.17127272727273,1.835,2016-04-01,2016-04-01,2016-04-01
"APR",2010-04-01,0.978,1.1785061,-1.751,11.052,11.007,97.3965,-25.8335,-2.86111,0.955694,"El Nino",2010,0.219272727272728,0.251999999999999,2010-04-01,2010-04-01,2010-04-01
"APR",2004-04-01,0.358,0.1252492,0.078,11.426,11.102,72.016,-14.7112,-2.7242,-1.285933,"El Nino",2004,0.593272727272728,0.347,2004-04-01,2004-04-01,2004-04-01
"AUG",2003-08-01,0.329,0.78228796,0.091,13.356,13.115,156.1878,45.5069,-2.37873,-2.412027,"El Nino",2003,0.81,-0.164999999999999,2003-08-01,2003-08-01,2003-08-01
"AUG",2013-08-01,-0.466,0.5616566,-1.299,13.171,13.127,113.235,17.1726,-2.43455,-0.885965,"La Nina",2013,0.625,-0.152999999999999,2013-08-01,2013-08-01,2013-08-01
"AUG",2012-08-01,0.628,1.7304645,-1.316,11.317,12.966,238.5427,50.7874,-4.16344,-1.900482,"El Nino",2012,-1.229,-0.314,2012-08-01,2012-08-01,2012-08-01
"AUG",2005-08-01,0.362,-1.1305807,-0.756,11.817,12.42,131.4161,54.6555,-3.55922,-4.300941,"El Nino",2005,-0.728999999999999,-0.859999999999999,2005-08-01,2005-08-01,2005-08-01
"AUG",2011-08-01,-0.502,1.0362983,0.467,11.647,12.512,197.724,33.9931,-5.23145,-3.100806,"La Nina",2011,-0.898999999999999,-0.767999999999999,2011-08-01,2011-08-01,2011-08-01
"AUG",2008-08-01,-0.252,2.143588,-1.437,11.691,14.703,182.9806,16.3969,-4.88441,-1.549057,"La Nina",2008,-0.854999999999999,1.423,2008-08-01,2008-08-01,2008-08-01
"AUG",2004-08-01,0.639,0.68538326,-0.765,13.795,14.213,72.9484,16.437,-2.0461,-1.689785,"El Nino",2004,1.249,0.933,2004-08-01,2004-08-01,2004-08-01
"AUG",2010-08-01,-1.662,1.078559,0.429,10.987,12.669,155.4346,30.9576,-4.94852,-3.149526,"La Nina",2010,-1.559,-0.610999999999999,2010-08-01,2010-08-01,2010-08-01
"AUG",2014-08-01,0.961,-0.54526097,-1.605,13.608,11.742,182.7959,48.8752,-2.63937,-2.622581,"El Nino",2014,1.062,-1.538,2014-08-01,2014-08-01,2014-08-01
"AUG",2007-08-01,-0.427,1.4399076,-1.554,14.174,14.64,120.0857,29.5966,-3.0873,-2.450875,"La Nina",2007,1.628,1.36,2007-08-01,2007-08-01,2007-08-01
"AUG",2009-08-01,1.073,0.71791106,-0.257,12.443,13.973,133.4058,24.0671,-4.17258,-1.901619,"El Nino",2009,-0.103,0.693000000000001,2009-08-01,2009-08-01,2009-08-01
"DEC",2008-12-01,-0.646,0.44929096,4.223,11.521,10.66,30.4274,-50.8548,-1.48116,1.408,"La Nina",2008,-0.482099999999999,-0.0878999999999994,2008-12-01,2008-12-01,2008-12-01
"DEC",2003-12-01,0.362,0.22437689,-1.635,12.099,11.141,-112.8844,-224.4759,2.57534,4.671739,"El Nino",2003,0.0959000000000003,0.3931,2003-12-01,2003-12-01,2003-12-01
"DEC",2013-12-01,-0.234,-1.4515896,4.973,11.288,9.538,104.3454,3.2036,-4.08395,-0.686828,"La Nina",2013,-0.7151,-1.2099,2013-12-01,2013-12-01,2013-12-01
"DEC",2012-12-01,0.111,1.200031,0.023,12.559,11.345,-52.2983,-149.6142,-0.77497,4.464825,"El Nino",2012,0.555899999999999,0.597100000000001,2012-12-01,2012-12-01,2012-12-01
"DEC",2009-12-01,1.059,1.0631177,-3.436,11.455,10.341,-39.7486,-92.8179,0.98763,1.759623,"El Nino",2009,-0.5481,-0.4069,2009-12-01,2009-12-01,2009-12-01
"DEC",2015-12-01,2.12,-1.1060514,1.549,12.994,12.135,-48.2119,-225.4477,0.43723,4.527725,"El Nino",2015,0.9909,1.3871,2015-12-01,2015-12-01,2015-12-01
"DEC",2005-12-01,-0.55,-1.2528956,-1.886,13.022,10.737,-141.1844,-164.0151,2.80579,3.545749,"La Nina",2005,1.0189,-0.0108999999999995,2005-12-01,2005-12-01,2005-12-01
"DEC",2006-12-01,0.965,-0.1553899,2.745,12.105,11.151,-14.1327,-162.5179,1.01694,3.766801,"El Nino",2006,0.101900000000001,0.4031,2006-12-01,2006-12-01,2006-12-01
"DEC",2011-12-01,-0.945,0.13205332,7.887,10.791,10.002,91.3103,-16.9226,-2.22298,-0.721237,"La Nina",2011,-1.2121,-0.745899999999999,2011-12-01,2011-12-01,2011-12-01
"DEC",2004-12-01,0.684,-0.98521197,0.037,12.197,10.429,3.9906,-81.3434,0.86465,2.255172,"El Nino",2004,0.193899999999999,-0.318899999999999,2004-12-01,2004-12-01,2004-12-01
"FEB",2012-02-01,-0.675,0.86268306,3.723,10.327,9.168,78.4905,-74.96,-3.8569,2.395402,"La Nina",2012,-1.0771,-0.818200000000001,2012-02-01,2012-02-01,2012-02-01
"FEB",2007-02-01,0.537,-0.13660997,2.207,11.012,9.561,29.024,-65.2927,0.11124,4.288209,"El Nino",2007,-0.392099999999999,-0.4252,2007-02-01,2007-02-01,2007-02-01
"FEB",2013-02-01,-0.068,1.2039313,8.002,9.844,9.311,144.5721,-36.7524,-4.86533,0.689583,"La Nina",2013,-1.5601,-0.6752,2013-02-01,2013-02-01,2013-02-01
"FEB",2004-02-01,0.37,0.6672296,-0.219,11.51,10.21,-97.0808,-143.5233,1.29381,2.592219,"El Nino",2004,0.1059,0.223800000000001,2004-02-01,2004-02-01,2004-02-01
"FEB",2003-02-01,0.944,0.9925656,-0.073,12.206,10.623,62.8981,-6.7659,-2.50208,-1.016269,"El Nino",2003,0.8019,0.636799999999999,2003-02-01,2003-02-01,2003-02-01
"FEB",2016-02-01,2.17,0.22869466,0.825,13.222,11.417,9.8482,-106.2491,-1.11443,4.731079,"El Nino",2016,1.8179,1.4308,2016-02-01,2016-02-01,2016-02-01
"FEB",2009-02-01,-0.69,0.9093018,-1.159,10.497,8.989,-68.779,-51.4027,2.17288,1.243049,"La Nina",2009,-0.9071,-0.997199999999999,2009-02-01,2009-02-01,2009-02-01
"FEB",2006-02-01,-0.414,-1.0694165,2.257,11.76,10.397,43.2438,-56.1905,-1.27934,-0.227232,"La Nina",2006,0.3559,0.4108,2006-02-01,2006-02-01,2006-02-01
"FEB",2010-02-01,1.526,1.838936,-6.329,12.024,10.973,-81.4372,-107.134,1.2811,4.218236,"El Nino",2010,0.619899999999999,0.986800000000001,2010-02-01,2010-02-01,2010-02-01
"FEB",2014-02-01,-0.259,-0.26691276,-0.953,11.639,9.213,-31.3558,-100.9393,0.046,2.656845,"La Nina",2014,0.2349,-0.773200000000001,2014-02-01,2014-02-01,2014-02-01
"JAN",2003-01-01,1.214,1.9691832,-2.517,12.473,11.114,-117.2062,-182.9613,2.10768,4.589488,"El Nino",2003,0.800000000000001,0.887,2003-01-01,2003-01-01,2003-01-01
"JAN",2007-01-01,0.985,-0.4117224,8.058,10.82,9.697,90.2147,-13.8375,-4.66366,1.256797,"El Nino",2007,-0.853,-0.530000000000001,2007-01-01,2007-01-01,2007-01-01
"JAN",2014-01-01,-0.27,-0.38970667,3.977,11.323,8.885,31.7515,-57.7257,-1.79445,0.930283,"La Nina",2014,-0.35,-1.342,2014-01-01,2014-01-01,2014-01-01
"JAN",2013-01-01,0.103,1.2306213,6.643,10.82,9.898,59.4666,-20.9783,-3.30619,0.568775,"El Nino",2013,-0.853,-0.329000000000001,2013-01-01,2013-01-01,2013-01-01
"JAN",2004-01-01,0.332,0.26501486,-0.554,11.756,10.46,-81.5002,-191.8991,0.63042,3.428312,"El Nino",2004,0.0830000000000002,0.233000000000001,2004-01-01,2004-01-01,2004-01-01
"JAN",2016-01-01,2.216,0.9376462,-6.935,12.892,11.412,-156.9814,-205.1295,3.99288,5.763612,"El Nino",2016,1.219,1.185,2016-01-01,2016-01-01,2016-01-01
"JAN",2010-01-01,1.066,2.062816,-8.052,12.108,10.844,-183.2976,-238.7955,4.38785,6.528087,"El Nino",2010,0.435,0.616999999999999,2010-01-01,2010-01-01,2010-01-01
"JAN",2009-01-01,-0.714,0.7225751,6.754,10.93,9.327,52.4224,-35.1876,-3.62911,0.513324,"La Nina",2009,-0.743,-0.9,2009-01-01,2009-01-01,2009-01-01
"JAN",2006-01-01,-0.428,-0.6465035,4.121,12.686,11.455,-18.2532,-175.2138,1.18235,6.284409,"La Nina",2006,1.013,1.228,2006-01-01,2006-01-01,2006-01-01
"JAN",2012-01-01,-0.98,0.833666,4.865,10.922,9.178,-8.3258,-126.6921,-1.25728,3.331843,"La Nina",2012,-0.750999999999999,-1.049,2012-01-01,2012-01-01,2012-01-01
"JUL",2015-07-01,1.987,-1.474117,-4.051,13.871,15.103,129.4533,41.7381,-1.80329,-2.686903,"El Nino",2015,1.7342,1.7837,2015-07-01,2015-07-01,2015-07-01
"JUL",2008-07-01,0.089,1.427494,-1.584,11.601,11.409,167.3208,48.9607,-4.68589,-3.360594,"El Nino",2008,-0.5358,-1.9103,2008-07-01,2008-07-01,2008-07-01
"JUL",2003-07-01,0.178,1.2024409,0.286,10.35,13.854,283.0269,52.1439,-3.95479,-3.902294,"El Nino",2003,-1.7868,0.534699999999999,2003-07-01,2003-07-01,2003-07-01
"JUL",2005-07-01,0.519,-1.6639054,-0.195,11.867,14.395,158.1158,60.9758,-3.17258,-4.233065,"El Nino",2005,-0.2698,1.0757,2005-07-01,2005-07-01,2005-07-01
"JUL",2004-07-01,0.574,0.41156805,-1.063,13.308,14.649,99.76,40.3652,-2.92668,-3.062382,"El Nino",2004,1.1712,1.3297,2004-07-01,2004-07-01,2004-07-01
"JUL",2013-07-01,-0.311,0.45131078,0.47,11.352,11.758,288.5924,84.1982,-3.6358,-6.171371,"La Nina",2013,-0.784800000000001,-1.5613,2013-07-01,2013-07-01,2013-07-01
"JUL",2014-07-01,0.921,-0.13370799,-0.953,13.143,12.842,220.6155,53.7198,-3.07665,-3.632392,"El Nino",2014,1.0062,-0.4773,2014-07-01,2014-07-01,2014-07-01
"JUL",2009-07-01,1.06,0.56042695,0.195,11.086,11.874,146.651,43.2202,-4.53831,-3.049328,"El Nino",2009,-1.0508,-1.4453,2009-07-01,2009-07-01,2009-07-01
"JUL",2011-07-01,-0.191,1.0352043,-0.393,13.857,14.796,220.3048,37.7367,-1.26364,-2.302742,"La Nina",2011,1.7202,1.4767,2011-07-01,2011-07-01,2011-07-01
"JUL",2010-07-01,-1.099,1.14574,-0.044,10.933,12.513,195.8654,60.2981,-2.75739,-5.553091,"La Nina",2010,-1.2038,-0.8063,2010-07-01,2010-07-01,2010-07-01
"JUN",2003-06-01,0.107,0.77769154,-2.216,10.304,13.314,346.5649,60.6662,-3.33597,-3.996523,"El Nino",2003,-0.4207,-0.403599999999999,2003-06-01,2003-06-01,2003-06-01
"JUN",2004-06-01,0.315,0.7764751,0.547,10.602,14.947,188.2307,40.5031,-4.54417,-2.980223,"El Nino",2004,-0.1227,1.2294,2004-06-01,2004-06-01,2004-06-01
"JUN",2010-06-01,-0.228,1.2382194,2.772,10.204,13.473,280.1967,15.0557,-6.73222,-3.357222,"La Nina",2010,-0.5207,-0.244599999999998,2010-06-01,2010-06-01,2010-06-01
"JUN",2007-06-01,-0.155,1.2324307,3.25,10.749,14.055,209.1233,14.1568,-5.58815,-1.159497,"La Nina",2007,0.0243000000000002,0.337400000000001,2007-06-01,2007-06-01,2007-06-01
"JUN",2008-06-01,0.142,1.2788393,1.47,9.242,12.283,288.121,42.7619,-6.68289,-3.081528,"El Nino",2008,-1.4827,-1.4346,2008-06-01,2008-06-01,2008-06-01
"JUN",2013-06-01,-0.094,0.7265816,1.163,11.037,14.174,265.8537,18.4203,-3.86778,-1.304868,"La Nina",2013,0.3123,0.4564,2013-06-01,2013-06-01,2013-06-01
"JUN",2015-06-01,2.097,-1.2495428,-1.473,11.78,12.536,243.1799,70.4342,-3.76146,-5.366901,"El Nino",2015,1.0553,-1.1816,2015-06-01,2015-06-01,2015-06-01
"JUN",2005-06-01,0.589,-1.2837522,1.027,10.989,15.404,197.1365,18.7469,-3.68958,-2.280529,"El Nino",2005,0.2643,1.6864,2005-06-01,2005-06-01,2005-06-01
"JUN",2009-06-01,0.751,0.37008104,-2.38,11.414,13.457,171.9553,37.1074,-4.77014,-2.28637,"El Nino",2009,0.689299999999999,-0.260599999999998,2009-06-01,2009-06-01,2009-06-01
"JUN",2014-06-01,1.046,-0.4166303,0.565,10.926,13.533,387.6814,36.4109,-5.99021,-3.188611,"El Nino",2014,0.2013,-0.1846,2014-06-01,2014-06-01,2014-06-01
"MAR",2008-03-01,-1.552,1.3746045,8.118,9.904,8.99,115.7752,-13.8064,-4.47245,2.011075,"La Nina",2008,-1.2125,-1.151,2008-03-01,2008-03-01,2008-03-01
"MAR",2014-03-01,0.018,-0.45373875,-0.602,11.724,10.281,58.3447,-77.1942,-1.6011,2.579784,"El Nino",2014,0.6075,0.140000000000001,2014-03-01,2014-03-01,2014-03-01
"MAR",2013-03-01,-0.026,0.64256865,2.063,9.605,9.165,90.9275,-19.2453,-3.819,0.63782,"La Nina",2013,-1.5115,-0.976000000000001,2013-03-01,2013-03-01,2013-03-01
"MAR",2004-03-01,-0.036,0.38293236,5.006,11.062,10.456,109.6707,-36.6857,-4.21146,-0.115612,"La Nina",2004,-0.0545000000000009,0.315,2004-03-01,2004-03-01,2004-03-01
"MAR",2003-03-01,0.83,1.4907115,-0.57,11.657,10.547,-13.983,-146.866,-1.58735,4.627126,"El Nino",2003,0.5405,0.406000000000001,2003-03-01,2003-03-01,2003-03-01
"MAR",2007-03-01,0.125,-0.54892534,5.106,10.793,10.042,115.9049,-13.1684,-4.16969,2.198372,"El Nino",2007,-0.323500000000001,-0.0990000000000002,2007-03-01,2007-03-01,2007-03-01
"MAR",2009-03-01,-0.705,0.3312593,4.57,10.323,9.344,109.9466,-22.6698,-4.51882,1.356662,"La Nina",2009,-0.7935,-0.797000000000001,2009-03-01,2009-03-01,2009-03-01
"MAR",2006-03-01,-0.521,-0.7099621,-0.108,11.381,10.19,-35.8389,-137.562,2.00431,5.313298,"La Nina",2006,0.2645,0.0489999999999995,2006-03-01,2006-03-01,2006-03-01
"MAR",2010-03-01,1.462,1.6534425,-0.178,11.732,10.841,33.3549,-53.8908,-1.25935,2.578841,"El Nino",2010,0.615499999999999,0.699999999999999,2010-03-01,2010-03-01,2010-03-01
"MAR",2016-03-01,1.963,0.4720812,-2.065,12.984,11.554,-7.3882,-160.3328,0.07782,4.019515,"El Nino",2016,1.8675,1.413,2016-03-01,2016-03-01,2016-03-01
"MAY",2015-05-01,1.583,-0.7200374,-2.497,10.547,12.681,200.4047,43.5523,-4.97258,-5.491542,"El Nino",2015,-0.345727272727272,0.217272727272727,2015-05-01,2015-05-01,2015-05-01
"MAY",2005-05-01,0.885,-0.79030764,-2.468,12.929,13.508,74.5523,-15.9308,-1.5914,1.256317,"El Nino",2005,2.03627272727273,1.04427272727273,2005-05-01,2005-05-01,2005-05-01
"MAY",2008-05-01,-0.345,1.7382507,0.569,9.65,11.526,273.5483,37.2803,-6.30837,-3.025437,"La Nina",2008,-1.24272727272727,-0.937727272727273,2008-05-01,2008-05-01,2008-05-01
"MAY",2007-05-01,0.348,0.6913841,2.032,10.109,11.412,185.3527,48.9892,-5.34845,-3.941081,"El Nino",2007,-0.783727272727273,-1.05172727272727,2007-05-01,2007-05-01,2007-05-01
"MAY",2010-05-01,0.658,1.8660371,3.498,10.131,11.98,127.5269,-11.505,-4.15121,-0.712769,"El Nino",2010,-0.761727272727272,-0.483727272727272,2010-05-01,2010-05-01,2010-05-01
"MAY",2014-05-01,1.001,0.22740889,1.391,11.643,13.419,196.983,1.4276,-5.52287,-0.799034,"El Nino",2014,0.750272727272728,0.955272727272728,2014-05-01,2014-05-01,2014-05-01
"MAY",2003-05-01,0.214,0.9192588,-0.762,10.437,12.669,266.3612,26.8439,-4.61815,-2.649194,"El Nino",2003,-0.455727272727273,0.205272727272728,2003-05-01,2003-05-01,2003-05-01
"MAY",2004-05-01,0.558,0.20735337,1.529,11.968,13.996,86.1121,11.2105,-4.41876,-0.917814,"El Nino",2004,1.07527272727273,1.53227272727273,2004-05-01,2004-05-01,2004-05-01
"MAY",2016-05-01,1.752,-0.6821762,0.272,11.584,13.303,210.3533,41.3099,-3.36398,-4.995475,"El Nino",2016,0.691272727272727,0.839272727272729,2016-05-01,2016-05-01,2016-05-01
"MAY",2009-05-01,0.326,0.5548924,1.11,9.912,10.874,190.2336,3.2407,-4.39315,-1.883737,"El Nino",2009,-0.980727272727272,-1.58972727272727,2009-05-01,2009-05-01,2009-05-01
"MAY",2013-05-01,0.205,0.8523294,1.356,10.91,11.733,183.9128,9.3158,-4.90175,0.115457,"El Nino",2013,0.0172727272727276,-0.730727272727272,2013-05-01,2013-05-01,2013-05-01
"NOV",2003-11-01,0.584,-0.11436786,-0.763,11.894,11.731,-46.241,-84.0395,0.07611,1.895271,"El Nino",2003,-0.764083333333334,-0.201333333333332,2003-11-01,2003-11-01,2003-11-01
"NOV",2012-11-01,0.141,1.4016486,-2.34,14.626,12.167,-91.4321,-152.2584,0.79026,4.90533,"El Nino",2012,1.96791666666667,0.234666666666667,2012-11-01,2012-11-01,2012-11-01
"NOV",2008-11-01,-0.584,1.9697901,2.515,12.803,12.332,13.0659,-75.6299,-1.0675,2.964575,"La Nina",2008,0.144916666666667,0.399666666666668,2008-11-01,2008-11-01,2008-11-01
"NOV",2004-11-01,0.818,-0.44177726,4.444,12.76,11.46,98.1905,-8.3825,-2.99624,-0.385774,"El Nino",2004,0.101916666666666,-0.472333333333331,2004-11-01,2004-11-01,2004-11-01
"NOV",2007-11-01,-1.149,0.72844106,3.971,12.049,11.136,63.5586,-43.6681,-2.07503,0.159414,"La Nina",2007,-0.609083333333334,-0.796333333333333,2007-11-01,2007-11-01,2007-11-01
"NOV",2005-11-01,-0.374,-1.6610364,3.332,12.412,11.756,38.9511,-43.6884,-2.07191,1.146592,"La Nina",2005,-0.246083333333333,-0.176333333333332,2005-11-01,2005-11-01,2005-11-01
"NOV",2013-11-01,-0.042,-0.804566,0.144,12.924,11.609,63.6356,-29.1229,-2.31289,0.536857,"La Nina",2013,0.265916666666666,-0.323333333333332,2013-11-01,2013-11-01,2013-11-01
"NOV",2015-11-01,2.3,-2.253835,2.093,13.157,13.315,52.0574,-46.6197,-2.88653,1.748675,"El Nino",2015,0.498916666666666,1.38266666666667,2015-11-01,2015-11-01,2015-11-01
"NOV",2009-11-01,1.134,1.0545827,1.02,11.965,12.078,35.0817,-149.704,-2.02653,4.638881,"El Nino",2009,-0.693083333333334,0.145666666666667,2009-11-01,2009-11-01,2009-11-01
"NOV",2011-11-01,-0.933,0.37422317,1.716,12.074,12.011,-10.4267,-99.002,-1.48637,2.506863,"La Nina",2011,-0.584083333333334,0.0786666666666669,2011-11-01,2011-11-01,2011-11-01
"NOV",2006-11-01,1.297,-0.99574655,0.905,13.124,11.509,15.5851,-163.2999,-0.45258,5.921389,"El Nino",2006,0.465916666666667,-0.423333333333332,2006-11-01,2006-11-01,2006-11-01
"NOV",2010-11-01,-1.472,0.9877614,4.024,12.109,12.084,64.1102,-77.927,-2.51564,2.10751,"La Nina",2010,-0.549083333333334,0.151666666666667,2010-11-01,2010-11-01,2010-11-01
"OCT",2006-10-01,0.976,-1.0489801,-1.142,13.379,11.106,97.2565,29.4158,-2.95789,-2.59973,"El Nino",2006,0.354923076923077,-2.12938461538462,2006-10-01,2006-10-01,2006-10-01
"OCT",2008-10-01,-0.681,1.7658828,2.203,11.854,12.943,113.2343,-16.1913,-3.05457,-0.195547,"La Nina",2008,-1.17007692307692,-0.292384615384616,2008-10-01,2008-10-01,2008-10-01
"OCT",2012-10-01,0.097,1.8664157,-0.19,14.165,11.551,42.7518,-33.4579,-1.4832,2.511989,"El Nino",2012,1.14092307692308,-1.68438461538462,2012-10-01,2012-10-01,2012-10-01
"OCT",2003-10-01,0.534,1.286991,0.415,12.176,13.157,55.2387,-87.169,-3.66366,1.230148,"El Nino",2003,-0.848076923076922,-0.0783846153846159,2003-10-01,2003-10-01,2003-10-01
"OCT",2015-10-01,2.256,-1.3069408,-4.079,16.107,14.604,78.3482,-27.3152,-1.84274,1.552459,"El Nino",2015,3.08292307692308,1.36861538461538,2015-10-01,2015-10-01,2015-10-01
"OCT",2005-10-01,-0.152,-0.8893114,2.172,12.47,12.7,69.2237,-55.1595,-2.59933,3.45593,"La Nina",2005,-0.554076923076922,-0.535384615384617,2005-10-01,2005-10-01,2005-10-01
"OCT",2007-10-01,-1.204,1.2687833,2.134,13.274,12.212,57.4057,-42.943,-1.72113,1.502561,"La Nina",2007,0.249923076923077,-1.02338461538462,2007-10-01,2007-10-01,2007-10-01
"OCT",2004-10-01,0.524,0.042904183,-2.109,12.834,13.086,40.2352,-6.5593,-1.33769,0.553763,"El Nino",2004,-0.190076923076923,-0.149384615384616,2004-10-01,2004-10-01,2004-10-01
"OCT",2014-10-01,0.45,0.42413825,-3.229,15.16,15.851,8.3674,-73.1466,-1.11007,2.247059,"El Nino",2014,2.13592307692308,2.61561538461538,2014-10-01,2014-10-01,2014-10-01
"OCT",2013-10-01,0.148,-0.14729041,0.932,11.048,14.253,132.3365,15.8949,-4.47547,-3.436425,"El Nino",2013,-1.97607692307692,1.01761538461538,2013-10-01,2013-10-01,2013-10-01
"OCT",2011-10-01,-0.917,1.2043564,1.415,13.231,14.467,72.4988,-24.1888,-3.01452,0.201752,"La Nina",2011,0.206923076923077,1.23161538461538,2011-10-01,2011-10-01,2011-10-01
"OCT",2010-10-01,-1.888,1.6057858,1.905,11.667,13.085,57.4747,-77.5496,-0.8832,1.205108,"La Nina",2010,-1.35707692307692,-0.150384615384615,2010-10-01,2010-10-01,2010-10-01
"OCT",2009-10-01,0.924,1.1538724,-0.416,11.948,13.045,76.372,-50.4866,-2.96371,1.116869,"El Nino",2009,-1.07607692307692,-0.190384615384616,2009-10-01,2009-10-01,2009-10-01
"SEP",2005-09-01,0.329,-1.5729473,3.341,12.23,12.095,121.8351,38.3074,-3.71014,-3.007083,"El Nino",2005,-0.62025,-1.43841666666667,2005-09-01,2005-09-01,2005-09-01
"SEP",2008-09-01,-0.545,2.2272398,-0.095,12.943,12.001,105.7112,32.7004,-2.39485,-2.869777,"La Nina",2008,0.0927499999999988,-1.53241666666667,2008-09-01,2008-09-01,2008-09-01
"SEP",2014-09-01,0.593,-0.7770938,-3.836,15.655,15.629,94.305,6.1141,-0.51624,-0.264167,"El Nino",2014,2.80475,2.09558333333333,2014-09-01,2014-09-01,2014-09-01
"SEP",2009-09-01,0.745,0.98406076,1.42,13.363,14.913,103.9553,2.7943,-4.17625,-0.816551,"El Nino",2009,0.512749999999999,1.37958333333333,2009-09-01,2009-09-01,2009-09-01
"SEP",2003-09-01,0.492,0.8692253,-1.554,12.329,11.635,165.3744,41.3239,-2.20912,-1.869425,"El Nino",2003,-0.52125,-1.89841666666667,2003-09-01,2003-09-01,2003-09-01
"SEP",2012-09-01,0.351,1.3583578,2.833,12.135,12.384,165.7925,48.6698,-3.0025,-2.835833,"El Nino",2012,-0.715250000000001,-1.14941666666667,2012-09-01,2012-09-01,2012-09-01
"SEP",2006-09-01,0.84,-0.33968976,0.579,11.585,13.387,157.4348,31.782,-4.38055,-2.405323,"El Nino",2006,-1.26525,-0.146416666666667,2006-09-01,2006-09-01,2006-09-01
"SEP",2010-09-01,-1.86,1.00388,1.166,11.989,13.946,110.8307,-10.1919,-3.11194,0.184145,"La Nina",2010,-0.86125,0.412583333333332,2010-09-01,2010-09-01,2010-09-01
"SEP",2013-09-01,-0.125,0.38973394,-0.257,13.911,16.042,86.0489,-37.976,-2.42601,1.192157,"La Nina",2013,1.06075,2.50858333333333,2013-09-01,2013-09-01,2013-09-01
"SEP",2007-09-01,-1.175,0.9092681,1.379,13.545,13.088,91.8116,20.4129,-2.55097,-1.815342,"La Nina",2007,0.694749999999999,-0.445416666666668,2007-09-01,2007-09-01,2007-09-01
"SEP",2004-09-01,0.591,0.3764023,0.674,12.487,15.12,129.2259,10.6987,-4.60825,-1.716389,"El Nino",2004,-0.363250000000001,1.58658333333333,2004-09-01,2004-09-01,2004-09-01
"SEP",2011-09-01,-0.751,1.3279155,0.291,12.031,12.161,119.9296,-13.6628,-2.41569,-0.328194,"La Nina",2011,-0.81925,-1.37241666666667,2011-09-01,2011-09-01,2011-09-01
