"Year.of.Observation","Pinniped.Common.Name","cnt_all","strand_anom","MEI","NPGO","PDO","SST_39","SST_44","Upwelling_39","Upwelling_45","Wind_39","Wind_44","SST_39_anom","SST_44_anom"
1989,"California sea lion",8,-72.4642857142857,-0.53975,0.6122406175,-0.179166666666667,11.4776363636364,NA,51.4292166666667,-1.81045,-2.30200818181818,NA,-0.492903387047735,NA
1989,"Harbor seal",11,-57.9642857142857,-0.53975,0.6122406175,-0.179166666666667,11.4776363636364,NA,51.4292166666667,-1.81045,-2.30200818181818,NA,-0.492903387047735,NA
1989,"Steller sea lion",1,-32.2307692307692,-0.53975,0.6122406175,-0.179166666666667,11.4776363636364,NA,51.4292166666667,-1.81045,-2.30200818181818,NA,-0.492903387047735,NA
1990,"California sea lion",22,-58.4642857142857,0.412583333333333,-0.201546121666667,-0.355833333333333,11.8460833333333,NA,51.16715,-13.33505,-3.0596425,NA,-0.0492483946488297,NA
1990,"Harbor seal",41,-27.9642857142857,0.412583333333333,-0.201546121666667,-0.355833333333333,11.8460833333333,NA,51.16715,-13.33505,-3.0596425,NA,-0.0492483946488297,NA
1990,"Steller sea lion",10,-23.2307692307692,0.412583333333333,-0.201546121666667,-0.355833333333333,11.8460833333333,NA,51.16715,-13.33505,-3.0596425,NA,-0.0492483946488297,NA
1991,"California sea lion",24,-56.4642857142857,0.8065,-0.498914717666667,-0.419166666666667,11.3732,10.996,54.0167583333333,-21.1840333333333,-2.390138,2.500107,-0.342224996655519,-0.519979166666666
1991,"Harbor seal",42,-26.9642857142857,0.8065,-0.498914717666667,-0.419166666666667,11.3732,10.996,54.0167583333333,-21.1840333333333,-2.390138,2.500107,-0.342224996655519,-0.519979166666666
1991,"Steller sea lion",1,-32.2307692307692,0.8065,-0.498914717666667,-0.419166666666667,11.3732,10.996,54.0167583333333,-21.1840333333333,-2.390138,2.500107,-0.342224996655519,-0.519979166666666
1992,"California sea lion",16,-64.4642857142857,1.309,-1.0949188725,0.928333333333333,13.29425,12.1149166666667,33.3160916666667,-28.825925,-1.55006125,-0.795996727272727,1.0380130511427,0.132396949038439
1992,"Harbor seal",76,7.03571428571429,1.309,-1.0949188725,0.928333333333333,13.29425,12.1149166666667,33.3160916666667,-28.825925,-1.55006125,-0.795996727272727,1.0380130511427,0.132396949038439
1992,"Steller sea lion",3,-30.2307692307692,1.309,-1.0949188725,0.928333333333333,13.29425,12.1149166666667,33.3160916666667,-28.825925,-1.55006125,-0.795996727272727,1.0380130511427,0.132396949038439
1993,"California sea lion",25,-55.4642857142857,1.1125,-1.9019926225,1.41666666666667,12.3974444444444,11.8565833333333,35.7635583333333,-30.73925,-1.96045666666667,0.40495825,0.273228992320079,-0.125936384294894
1993,"Harbor seal",59,-9.96428571428571,1.1125,-1.9019926225,1.41666666666667,12.3974444444444,11.8565833333333,35.7635583333333,-30.73925,-1.96045666666667,0.40495825,0.273228992320079,-0.125936384294894
1993,"Steller sea lion",11,-22.2307692307692,1.1125,-1.9019926225,1.41666666666667,12.3974444444444,11.8565833333333,35.7635583333333,-30.73925,-1.96045666666667,0.40495825,0.273228992320079,-0.125936384294894
1994,"California sea lion",13,-67.4642857142857,0.7545,-1.211598785,-0.151666666666667,11.57525,11.99525,56.7530666666667,-29.2570583333333,-2.80351333333333,-1.43980133333333,-0.320081727982163,0.285567045454546
1994,"Harbor seal",55,-13.9642857142857,0.7545,-1.211598785,-0.151666666666667,11.57525,11.99525,56.7530666666667,-29.2570583333333,-2.80351333333333,-1.43980133333333,-0.320081727982163,0.285567045454546
1994,"Steller sea lion",4,-29.2307692307692,0.7545,-1.211598785,-0.151666666666667,11.57525,11.99525,56.7530666666667,-29.2570583333333,-2.80351333333333,-1.43980133333333,-0.320081727982163,0.285567045454546
1995,"California sea lion",11,-69.4642857142857,0.227166666666667,-1.03920855916667,0.6425,12.1486363636364,13.49425,22.6484583333333,-44.4648333333333,-0.733636666666667,-0.395890875,0.251989893584676,0.689172945487483
1995,"Harbor seal",25,-43.9642857142857,0.227166666666667,-1.03920855916667,0.6425,12.1486363636364,13.49425,22.6484583333333,-44.4648333333333,-0.733636666666667,-0.395890875,0.251989893584676,0.689172945487483
1996,"California sea lion",11,-69.4642857142857,-0.312083333333333,-0.972836595,0.640833333333333,12.15075,11.780875,57.3358333333333,-22.87705,-2.0214225,-0.4232755,0.255418272017837,0.00122929625199331
1996,"Harbor seal",19,-49.9642857142857,-0.312083333333333,-0.972836595,0.640833333333333,12.15075,11.780875,57.3358333333333,-22.87705,-2.0214225,-0.4232755,0.255418272017837,0.00122929625199331
1996,"Steller sea lion",12,-21.2307692307692,-0.312083333333333,-0.972836595,0.640833333333333,12.15075,11.780875,57.3358333333333,-22.87705,-2.0214225,-0.4232755,0.255418272017837,0.00122929625199331
1997,"California sea lion",22,-58.4642857142857,1.571,-0.657690609166667,1.46083333333333,13.1489166666667,13.6812,87.4543333333333,-45.4834666666667,-2.5802625,1.8861516,1.2535849386845,1.6993191370224
1997,"Harbor seal",31,-37.9642857142857,1.571,-0.657690609166667,1.46083333333333,13.1489166666667,13.6812,87.4543333333333,-45.4834666666667,-2.5802625,1.8861516,1.2535849386845,1.6993191370224
1997,"Steller sea lion",10,-23.2307692307692,1.571,-0.657690609166667,1.46083333333333,13.1489166666667,13.6812,87.4543333333333,-45.4834666666667,-2.5802625,1.8861516,1.2535849386845,1.6993191370224
1998,"California sea lion",53,-27.4642857142857,0.902083333333333,0.544553275166667,0.245833333333333,12.6874545454545,13.0315555555556,54.3282833333333,-57.2931416666667,-1.47188416666667,-0.170940666666667,0.824008744299179,0.498561136729615
1998,"Harbor seal",25,-43.9642857142857,0.902083333333333,0.544553275166667,0.245833333333333,12.6874545454545,13.0315555555556,54.3282833333333,-57.2931416666667,-1.47188416666667,-0.170940666666667,0.824008744299179,0.498561136729615
1998,"Steller sea lion",6,-27.2307692307692,0.902083333333333,0.544553275166667,0.245833333333333,12.6874545454545,13.0315555555556,54.3282833333333,-57.2931416666667,-1.47188416666667,-0.170940666666667,0.824008744299179,0.498561136729615
1999,"California sea lion",19,-61.4642857142857,-0.886666666666667,1.51578051666667,-1.06333333333333,12.0346666666667,10.0903333333333,119.979008333333,-74.05335,-2.51627,0.585029833333333,-0.577269230769231,-1.00257504131706
1999,"Harbor seal",44,-24.9642857142857,-0.886666666666667,1.51578051666667,-1.06333333333333,12.0346666666667,10.0903333333333,119.979008333333,-74.05335,-2.51627,0.585029833333333,-0.577269230769231,-1.00257504131706
1999,"Steller sea lion",1,-32.2307692307692,-0.886666666666667,1.51578051666667,-1.06333333333333,12.0346666666667,10.0903333333333,119.979008333333,-74.05335,-2.51627,0.585029833333333,-0.577269230769231,-1.00257504131706
2000,"California sea lion",27,-53.4642857142857,-0.503666666666667,1.8858613,-0.59,11.4466666666667,11.2718333333333,92.6549333333333,-34.8501,-1.80908333333333,-0.392331818181818,-0.448665061315496,-0.710686384294894
2000,"Harbor seal",24,-44.9642857142857,-0.503666666666667,1.8858613,-0.59,11.4466666666667,11.2718333333333,92.6549333333333,-34.8501,-1.80908333333333,-0.392331818181818,-0.448665061315496,-0.710686384294894
2001,"California sea lion",14,-66.4642857142857,-0.13025,2.08069336666667,-0.5625,11.15825,11.3287272727273,122.135866666667,-34.9395916666667,-2.24662583333333,-1.1233083,-0.737081727982163,-0.737566964685339
2001,"Harbor seal",22,-46.9642857142857,-0.13025,2.08069336666667,-0.5625,11.15825,11.3287272727273,122.135866666667,-34.9395916666667,-2.24662583333333,-1.1233083,-0.737081727982163,-0.737566964685339
2001,"Steller sea lion",1,-32.2307692307692,-0.13025,2.08069336666667,-0.5625,11.15825,11.3287272727273,122.135866666667,-34.9395916666667,-2.24662583333333,-1.1233083,-0.737081727982163,-0.737566964685339
2002,"California sea lion",14,-66.4642857142857,0.642166666666667,1.4735939275,0.220833333333333,11.4340909090909,11.2370909090909,103.8053,-39.425025,-1.88735545454545,-0.719580818181818,-0.483710975980542,-0.893263934382309
2002,"Harbor seal",6,-62.9642857142857,0.642166666666667,1.4735939275,0.220833333333333,11.4340909090909,11.2370909090909,103.8053,-39.425025,-1.88735545454545,-0.719580818181818,-0.483710975980542,-0.893263934382309
2002,"Steller sea lion",1,-32.2307692307692,0.642166666666667,1.4735939275,0.220833333333333,11.4340909090909,11.2370909090909,103.8053,-39.425025,-1.88735545454545,-0.719580818181818,-0.483710975980542,-0.893263934382309
2003,"California sea lion",40,-40.4642857142857,0.494416666666667,0.9585072025,0.969166666666667,11.7205833333333,11.9773333333333,87.0250666666667,-46.2091,-1.57058083333333,0.341928083333333,-0.17474839464883,-0.00518638429489426
2003,"Harbor seal",38,-30.9642857142857,0.494416666666667,0.9585072025,0.969166666666667,11.7205833333333,11.9773333333333,87.0250666666667,-46.2091,-1.57058083333333,0.341928083333333,-0.17474839464883,-0.00518638429489426
2003,"Steller sea lion",16,-17.2307692307692,0.494416666666667,0.9585072025,0.969166666666667,11.7205833333333,11.9773333333333,87.0250666666667,-46.2091,-1.57058083333333,0.341928083333333,-0.17474839464883,-0.00518638429489426
2004,"California sea lion",103,22.5357142857143,0.453166666666667,0.209460254416667,0.345,12.1420833333333,12.5106666666667,60.149925,-30.3241666666667,-2.25205583333333,-0.277037166666667,0.24675160535117,0.528146949038439
2004,"Harbor seal",73,4.03571428571429,0.453166666666667,0.209460254416667,0.345,12.1420833333333,12.5106666666667,60.149925,-30.3241666666667,-2.25205583333333,-0.277037166666667,0.24675160535117,0.528146949038439
2004,"Steller sea lion",22,-11.2307692307692,0.453166666666667,0.209460254416667,0.345,12.1420833333333,12.5106666666667,60.149925,-30.3241666666667,-2.25205583333333,-0.277037166666667,0.24675160535117,0.528146949038439
2005,"California sea lion",44,-36.4642857142857,0.356333333333333,-1.381917955,0.375,12.2713333333333,12.7262222222222,59.0830166666667,-22.123925,-1.6639125,-0.526458222222222,0.37600160535117,0.150748173766652
2005,"Harbor seal",48,-20.9642857142857,0.356333333333333,-1.381917955,0.375,12.2713333333333,12.7262222222222,59.0830166666667,-22.123925,-1.6639125,-0.526458222222222,0.37600160535117,0.150748173766652
2005,"Steller sea lion",17,-16.2307692307692,0.356333333333333,-1.381917955,0.375,12.2713333333333,12.7262222222222,59.0830166666667,-22.123925,-1.6639125,-0.526458222222222,0.37600160535117,0.150748173766652
2006,"California sea lion",116,35.5357142857143,0.333333333333333,-0.555042004166667,0.190833333333333,12.24875,11.7273333333333,89.6762416666667,-33.9206416666667,-0.45088,1.398406,0.218033830128205,-0.255186384294894
2006,"Harbor seal",124,55.0357142857143,0.333333333333333,-0.555042004166667,0.190833333333333,12.24875,11.7273333333333,89.6762416666667,-33.9206416666667,-0.45088,1.398406,0.218033830128205,-0.255186384294894
2006,"Steller sea lion",39,5.76923076923077,0.333333333333333,-0.555042004166667,0.190833333333333,12.24875,11.7273333333333,89.6762416666667,-33.9206416666667,-0.45088,1.398406,0.218033830128205,-0.255186384294894
2007,"California sea lion",108,27.5357142857143,-0.316583333333333,0.593098209166667,-0.195833333333333,11.5585454545455,12.0481818181818,101.763666666667,-17.00995,-3.17293,-0.0447354545454545,-0.338101015506234,-0.0181124192307939
2007,"Harbor seal",104,35.0357142857143,-0.316583333333333,0.593098209166667,-0.195833333333333,11.5585454545455,12.0481818181818,101.763666666667,-17.00995,-3.17293,-0.0447354545454545,-0.338101015506234,-0.0181124192307939
2007,"Steller sea lion",111,77.7692307692308,-0.316583333333333,0.593098209166667,-0.195833333333333,11.5585454545455,12.0481818181818,101.763666666667,-17.00995,-3.17293,-0.0447354545454545,-0.338101015506234,-0.0181124192307939
2008,"California sea lion",120,39.5357142857143,-0.6485,1.45527457083333,-1.2925,10.93375,11.6178,116.512108333333,-8.4657,-3.3257075,-0.8010407,-0.961581727982163,-0.711716643610014
2008,"Harbor seal",101,32.0357142857143,-0.6485,1.45527457083333,-1.2925,10.93375,11.6178,116.512108333333,-8.4657,-3.3257075,-0.8010407,-0.961581727982163,-0.711716643610014
2008,"Steller sea lion",76,42.7692307692308,-0.6485,1.45527457083333,-1.2925,10.93375,11.6178,116.512108333333,-8.4657,-3.3257075,-0.8010407,-0.961581727982163,-0.711716643610014
2009,"California sea lion",363,282.535714285714,0.4085,0.73691483,-0.6125,11.2064166666667,11.4874166666667,90.1843583333333,-21.7834166666667,-3.15302333333333,-0.10389575,-0.688915061315497,-0.495103050961561
2009,"Harbor seal",125,56.0357142857143,0.4085,0.73691483,-0.6125,11.2064166666667,11.4874166666667,90.1843583333333,-21.7834166666667,-3.15302333333333,-0.10389575,-0.688915061315497,-0.495103050961561
2009,"Steller sea lion",73,39.7692307692308,0.4085,0.73691483,-0.6125,11.2064166666667,11.4874166666667,90.1843583333333,-21.7834166666667,-3.15302333333333,-0.10389575,-0.688915061315497,-0.495103050961561
2010,"California sea lion",370,289.535714285714,-0.365833333333333,1.3685688725,-0.3125,11.4386666666667,12.0105833333333,62.41455,-56.86565,-2.14105727272727,0.879556333333333,-0.456665061315497,0.0280636157051058
2010,"Harbor seal",128,59.0357142857143,-0.365833333333333,1.3685688725,-0.3125,11.4386666666667,12.0105833333333,62.41455,-56.86565,-2.14105727272727,0.879556333333333,-0.456665061315497,0.0280636157051058
2010,"Steller sea lion",64,30.7692307692308,-0.365833333333333,1.3685688725,-0.3125,11.4386666666667,12.0105833333333,62.41455,-56.86565,-2.14105727272727,0.879556333333333,-0.456665061315497,0.0280636157051058
2011,"California sea lion",120,39.5357142857143,-0.9075,0.857692195833333,-1.23083333333333,11.890375,12.2397142857143,100.035358333333,-31.005225,-2.605775,0.291517727272727,-0.412918615523969,-0.162109707321664
2011,"Harbor seal",141,72.0357142857143,-0.9075,0.857692195833333,-1.23083333333333,11.890375,12.2397142857143,100.035358333333,-31.005225,-2.605775,0.291517727272727,-0.412918615523969,-0.162109707321664
2011,"Steller sea lion",45,11.7692307692308,-0.9075,0.857692195833333,-1.23083333333333,11.890375,12.2397142857143,100.035358333333,-31.005225,-2.605775,0.291517727272727,-0.412918615523969,-0.162109707321664
2012,"California sea lion",82,1.53571428571429,0.169166666666667,1.4765224,-1.1,11.5450833333333,11.54,102.981908333333,-46.621225,-2.62314166666667,1.83901057142857,-0.35024839464883,-0.442519717628228
2012,"Harbor seal",140,71.0357142857143,0.169166666666667,1.4765224,-1.1,11.5450833333333,11.54,102.981908333333,-46.621225,-2.62314166666667,1.83901057142857,-0.35024839464883,-0.442519717628228
2012,"Steller sea lion",74,40.7692307692308,0.169166666666667,1.4765224,-1.1,11.5450833333333,11.54,102.981908333333,-46.621225,-2.62314166666667,1.83901057142857,-0.35024839464883,-0.442519717628228
2013,"California sea lion",101,20.5357142857143,-0.103583333333333,0.34436469,-0.5175,11.3266666666667,11.7335833333333,151.065383333333,0.634033333333333,-3.83557583333333,-0.875774416666667,-0.568665061315497,-0.248936384294894
2013,"Harbor seal",89,20.0357142857143,-0.103583333333333,0.34436469,-0.5175,11.3266666666667,11.7335833333333,151.065383333333,0.634033333333333,-3.83557583333333,-0.875774416666667,-0.568665061315497,-0.248936384294894
2013,"Steller sea lion",70,36.7692307692308,-0.103583333333333,0.34436469,-0.5175,11.3266666666667,11.7335833333333,151.065383333333,0.634033333333333,-3.83557583333333,-0.875774416666667,-0.568665061315497,-0.248936384294894
2014,"California sea lion",94,13.5357142857143,0.491666666666667,-0.251159114166667,1.13083333333333,13.16075,12.4470833333333,97.0734083333333,-32.4760166666667,-1.97883,-0.1809957,1.26541827201784,0.464563615705106
2014,"Harbor seal",95,26.0357142857143,0.491666666666667,-0.251159114166667,1.13083333333333,13.16075,12.4470833333333,97.0734083333333,-32.4760166666667,-1.97883,-0.1809957,1.26541827201784,0.464563615705106
2014,"Steller sea lion",64,30.7692307692308,0.491666666666667,-0.251159114166667,1.13083333333333,13.16075,12.4470833333333,97.0734083333333,-32.4760166666667,-1.97883,-0.1809957,1.26541827201784,0.464563615705106
2015,"California sea lion",158,77.5357142857143,1.63758333333333,-1.39691805,1.63416666666667,12.748875,13.0754166666667,91.819675,-19.0296583333333,-2.8482025,-1.23257833333333,0.994586366360089,1.09289694903844
2015,"Harbor seal",117,48.0357142857143,1.63758333333333,-1.39691805,1.63416666666667,12.748875,13.0754166666667,91.819675,-19.0296583333333,-2.8482025,-1.23257833333333,0.994586366360089,1.09289694903844
2015,"Steller sea lion",78,44.7692307692308,1.63758333333333,-1.39691805,1.63416666666667,12.748875,13.0754166666667,91.819675,-19.0296583333333,-2.8482025,-1.23257833333333,0.994586366360089,1.09289694903844
2016,"California sea lion",155,74.5357142857143,0.896,-0.0616944364166667,1.5425,12.3861666666667,13.0293333333333,83.759675,-55.372625,-1.67022833333333,1.09313381818182,1.15397914251208,1.04681361570511
2016,"Harbor seal",128,59.0357142857143,0.896,-0.0616944364166667,1.5425,12.3861666666667,13.0293333333333,83.759675,-55.372625,-1.67022833333333,1.09313381818182,1.15397914251208,1.04681361570511
2016,"Steller sea lion",54,20.7692307692308,0.896,-0.0616944364166667,1.5425,12.3861666666667,13.0293333333333,83.759675,-55.372625,-1.67022833333333,1.09313381818182,1.15397914251208,1.04681361570511
