"Year.of.Observation","Pinniped.Common.Name","variable","value"
1989,"California sea lion","cnt",8
1989,"Harbor seal","cnt",11
1989,"Steller sea lion","cnt",1
1990,"Steller sea lion","cnt",10
1990,"California sea lion","cnt",22
1990,"Harbor seal","cnt",41
1991,"Steller sea lion","cnt",1
1991,"California sea lion","cnt",24
1991,"Harbor seal","cnt",42
1992,"Steller sea lion","cnt",3
1992,"Harbor seal","cnt",76
1992,"California sea lion","cnt",16
1993,"Steller sea lion","cnt",11
1993,"Harbor seal","cnt",59
1993,"California sea lion","cnt",25
1994,"Harbor seal","cnt",55
1994,"Steller sea lion","cnt",4
1994,"California sea lion","cnt",13
1995,"Harbor seal","cnt",25
1995,"California sea lion","cnt",11
1996,"Steller sea lion","cnt",12
1996,"Harbor seal","cnt",19
1996,"California sea lion","cnt",11
1997,"Steller sea lion","cnt",10
1997,"Harbor seal","cnt",31
1997,"California sea lion","cnt",22
1998,"Harbor seal","cnt",25
1998,"Steller sea lion","cnt",6
1998,"California sea lion","cnt",53
1999,"California sea lion","cnt",19
1999,"Steller sea lion","cnt",1
1999,"Harbor seal","cnt",44
2000,"Harbor seal","cnt",24
2000,"California sea lion","cnt",27
2001,"Steller sea lion","cnt",1
2001,"Harbor seal","cnt",22
2001,"California sea lion","cnt",14
2002,"Steller sea lion","cnt",1
2002,"Harbor seal","cnt",6
2002,"California sea lion","cnt",14
2003,"California sea lion","cnt",40
2003,"Harbor seal","cnt",38
2003,"Steller sea lion","cnt",16
2004,"California sea lion","cnt",103
2004,"Harbor seal","cnt",73
2004,"Steller sea lion","cnt",22
2005,"Steller sea lion","cnt",17
2005,"California sea lion","cnt",44
2005,"Harbor seal","cnt",48
2006,"Steller sea lion","cnt",39
2006,"Harbor seal","cnt",124
2006,"California sea lion","cnt",116
2007,"California sea lion","cnt",108
2007,"Harbor seal","cnt",104
2007,"Steller sea lion","cnt",111
2008,"Harbor seal","cnt",101
2008,"California sea lion","cnt",120
2008,"Steller sea lion","cnt",76
2009,"Steller sea lion","cnt",73
2009,"California sea lion","cnt",363
2009,"Harbor seal","cnt",125
2010,"Steller sea lion","cnt",64
2010,"Harbor seal","cnt",128
2010,"California sea lion","cnt",370
2011,"Steller sea lion","cnt",45
2011,"Harbor seal","cnt",141
2011,"California sea lion","cnt",120
2012,"Steller sea lion","cnt",74
2012,"California sea lion","cnt",82
2012,"Harbor seal","cnt",140
2013,"Harbor seal","cnt",89
2013,"Steller sea lion","cnt",70
2013,"California sea lion","cnt",101
2014,"Harbor seal","cnt",95
2014,"Steller sea lion","cnt",64
2014,"California sea lion","cnt",94
2015,"Steller sea lion","cnt",78
2015,"Harbor seal","cnt",117
2015,"California sea lion","cnt",158
2016,"California sea lion","cnt",155
2016,"Steller sea lion","cnt",54
2016,"Harbor seal","cnt",128
1989,"California sea lion","strand_anom",-72.4642857142857
1989,"Harbor seal","strand_anom",-57.9642857142857
1989,"Steller sea lion","strand_anom",-32.2307692307692
1990,"Steller sea lion","strand_anom",-23.2307692307692
1990,"California sea lion","strand_anom",-58.4642857142857
1990,"Harbor seal","strand_anom",-27.9642857142857
1991,"Steller sea lion","strand_anom",-32.2307692307692
1991,"California sea lion","strand_anom",-56.4642857142857
1991,"Harbor seal","strand_anom",-26.9642857142857
1992,"Steller sea lion","strand_anom",-30.2307692307692
1992,"Harbor seal","strand_anom",7.03571428571429
1992,"California sea lion","strand_anom",-64.4642857142857
1993,"Steller sea lion","strand_anom",-22.2307692307692
1993,"Harbor seal","strand_anom",-9.96428571428571
1993,"California sea lion","strand_anom",-55.4642857142857
1994,"Harbor seal","strand_anom",-13.9642857142857
1994,"Steller sea lion","strand_anom",-29.2307692307692
1994,"California sea lion","strand_anom",-67.4642857142857
1995,"Harbor seal","strand_anom",-43.9642857142857
1995,"California sea lion","strand_anom",-69.4642857142857
1996,"Steller sea lion","strand_anom",-21.2307692307692
1996,"Harbor seal","strand_anom",-49.9642857142857
1996,"California sea lion","strand_anom",-69.4642857142857
1997,"Steller sea lion","strand_anom",-23.2307692307692
1997,"Harbor seal","strand_anom",-37.9642857142857
1997,"California sea lion","strand_anom",-58.4642857142857
1998,"Harbor seal","strand_anom",-43.9642857142857
1998,"Steller sea lion","strand_anom",-27.2307692307692
1998,"California sea lion","strand_anom",-27.4642857142857
1999,"California sea lion","strand_anom",-61.4642857142857
1999,"Steller sea lion","strand_anom",-32.2307692307692
1999,"Harbor seal","strand_anom",-24.9642857142857
2000,"Harbor seal","strand_anom",-44.9642857142857
2000,"California sea lion","strand_anom",-53.4642857142857
2001,"Steller sea lion","strand_anom",-32.2307692307692
2001,"Harbor seal","strand_anom",-46.9642857142857
2001,"California sea lion","strand_anom",-66.4642857142857
2002,"Steller sea lion","strand_anom",-32.2307692307692
2002,"Harbor seal","strand_anom",-62.9642857142857
2002,"California sea lion","strand_anom",-66.4642857142857
2003,"California sea lion","strand_anom",-40.4642857142857
2003,"Harbor seal","strand_anom",-30.9642857142857
2003,"Steller sea lion","strand_anom",-17.2307692307692
2004,"California sea lion","strand_anom",22.5357142857143
2004,"Harbor seal","strand_anom",4.03571428571429
2004,"Steller sea lion","strand_anom",-11.2307692307692
2005,"Steller sea lion","strand_anom",-16.2307692307692
2005,"California sea lion","strand_anom",-36.4642857142857
2005,"Harbor seal","strand_anom",-20.9642857142857
2006,"Steller sea lion","strand_anom",5.76923076923077
2006,"Harbor seal","strand_anom",55.0357142857143
2006,"California sea lion","strand_anom",35.5357142857143
2007,"California sea lion","strand_anom",27.5357142857143
2007,"Harbor seal","strand_anom",35.0357142857143
2007,"Steller sea lion","strand_anom",77.7692307692308
2008,"Harbor seal","strand_anom",32.0357142857143
2008,"California sea lion","strand_anom",39.5357142857143
2008,"Steller sea lion","strand_anom",42.7692307692308
2009,"Steller sea lion","strand_anom",39.7692307692308
2009,"California sea lion","strand_anom",282.535714285714
2009,"Harbor seal","strand_anom",56.0357142857143
2010,"Steller sea lion","strand_anom",30.7692307692308
2010,"Harbor seal","strand_anom",59.0357142857143
2010,"California sea lion","strand_anom",289.535714285714
2011,"Steller sea lion","strand_anom",11.7692307692308
2011,"Harbor seal","strand_anom",72.0357142857143
2011,"California sea lion","strand_anom",39.5357142857143
2012,"Steller sea lion","strand_anom",40.7692307692308
2012,"California sea lion","strand_anom",1.53571428571429
2012,"Harbor seal","strand_anom",71.0357142857143
2013,"Harbor seal","strand_anom",20.0357142857143
2013,"Steller sea lion","strand_anom",36.7692307692308
2013,"California sea lion","strand_anom",20.5357142857143
2014,"Harbor seal","strand_anom",26.0357142857143
2014,"Steller sea lion","strand_anom",30.7692307692308
2014,"California sea lion","strand_anom",13.5357142857143
2015,"Steller sea lion","strand_anom",44.7692307692308
2015,"Harbor seal","strand_anom",48.0357142857143
2015,"California sea lion","strand_anom",77.5357142857143
2016,"California sea lion","strand_anom",74.5357142857143
2016,"Steller sea lion","strand_anom",20.7692307692308
2016,"Harbor seal","strand_anom",59.0357142857143
1989,"California sea lion","MEI",-0.53975
1989,"Harbor seal","MEI",-0.53975
1989,"Steller sea lion","MEI",-0.53975
1990,"Steller sea lion","MEI",0.412583333333333
1990,"California sea lion","MEI",0.412583333333333
1990,"Harbor seal","MEI",0.412583333333333
1991,"Steller sea lion","MEI",0.8065
1991,"California sea lion","MEI",0.8065
1991,"Harbor seal","MEI",0.8065
1992,"Steller sea lion","MEI",1.309
1992,"Harbor seal","MEI",1.309
1992,"California sea lion","MEI",1.309
1993,"Steller sea lion","MEI",1.1125
1993,"Harbor seal","MEI",1.1125
1993,"California sea lion","MEI",1.1125
1994,"Harbor seal","MEI",0.7545
1994,"Steller sea lion","MEI",0.7545
1994,"California sea lion","MEI",0.7545
1995,"Harbor seal","MEI",0.227166666666667
1995,"California sea lion","MEI",0.227166666666667
1996,"Steller sea lion","MEI",-0.312083333333333
1996,"Harbor seal","MEI",-0.312083333333333
1996,"California sea lion","MEI",-0.312083333333333
1997,"Steller sea lion","MEI",1.571
1997,"Harbor seal","MEI",1.571
1997,"California sea lion","MEI",1.571
1998,"Harbor seal","MEI",0.902083333333333
1998,"Steller sea lion","MEI",0.902083333333333
1998,"California sea lion","MEI",0.902083333333333
1999,"California sea lion","MEI",-0.886666666666667
1999,"Steller sea lion","MEI",-0.886666666666667
1999,"Harbor seal","MEI",-0.886666666666667
2000,"Harbor seal","MEI",-0.503666666666667
2000,"California sea lion","MEI",-0.503666666666667
2001,"Steller sea lion","MEI",-0.13025
2001,"Harbor seal","MEI",-0.13025
2001,"California sea lion","MEI",-0.13025
2002,"Steller sea lion","MEI",0.642166666666667
2002,"Harbor seal","MEI",0.642166666666667
2002,"California sea lion","MEI",0.642166666666667
2003,"California sea lion","MEI",0.494416666666667
2003,"Harbor seal","MEI",0.494416666666667
2003,"Steller sea lion","MEI",0.494416666666667
2004,"California sea lion","MEI",0.453166666666667
2004,"Harbor seal","MEI",0.453166666666667
2004,"Steller sea lion","MEI",0.453166666666667
2005,"Steller sea lion","MEI",0.356333333333333
2005,"California sea lion","MEI",0.356333333333333
2005,"Harbor seal","MEI",0.356333333333333
2006,"Steller sea lion","MEI",0.333333333333333
2006,"Harbor seal","MEI",0.333333333333333
2006,"California sea lion","MEI",0.333333333333333
2007,"California sea lion","MEI",-0.316583333333333
2007,"Harbor seal","MEI",-0.316583333333333
2007,"Steller sea lion","MEI",-0.316583333333333
2008,"Harbor seal","MEI",-0.6485
2008,"California sea lion","MEI",-0.6485
2008,"Steller sea lion","MEI",-0.6485
2009,"Steller sea lion","MEI",0.4085
2009,"California sea lion","MEI",0.4085
2009,"Harbor seal","MEI",0.4085
2010,"Steller sea lion","MEI",-0.365833333333333
2010,"Harbor seal","MEI",-0.365833333333333
2010,"California sea lion","MEI",-0.365833333333333
2011,"Steller sea lion","MEI",-0.9075
2011,"Harbor seal","MEI",-0.9075
2011,"California sea lion","MEI",-0.9075
2012,"Steller sea lion","MEI",0.169166666666667
2012,"California sea lion","MEI",0.169166666666667
2012,"Harbor seal","MEI",0.169166666666667
2013,"Harbor seal","MEI",-0.103583333333333
2013,"Steller sea lion","MEI",-0.103583333333333
2013,"California sea lion","MEI",-0.103583333333333
2014,"Harbor seal","MEI",0.491666666666667
2014,"Steller sea lion","MEI",0.491666666666667
2014,"California sea lion","MEI",0.491666666666667
2015,"Steller sea lion","MEI",1.63758333333333
2015,"Harbor seal","MEI",1.63758333333333
2015,"California sea lion","MEI",1.63758333333333
2016,"California sea lion","MEI",0.896
2016,"Steller sea lion","MEI",0.896
2016,"Harbor seal","MEI",0.896
1989,"California sea lion","NPGO",0.6122406175
1989,"Harbor seal","NPGO",0.6122406175
1989,"Steller sea lion","NPGO",0.6122406175
1990,"Steller sea lion","NPGO",-0.201546121666667
1990,"California sea lion","NPGO",-0.201546121666667
1990,"Harbor seal","NPGO",-0.201546121666667
1991,"Steller sea lion","NPGO",-0.498914717666667
1991,"California sea lion","NPGO",-0.498914717666667
1991,"Harbor seal","NPGO",-0.498914717666667
1992,"Steller sea lion","NPGO",-1.0949188725
1992,"Harbor seal","NPGO",-1.0949188725
1992,"California sea lion","NPGO",-1.0949188725
1993,"Steller sea lion","NPGO",-1.9019926225
1993,"Harbor seal","NPGO",-1.9019926225
1993,"California sea lion","NPGO",-1.9019926225
1994,"Harbor seal","NPGO",-1.211598785
1994,"Steller sea lion","NPGO",-1.211598785
1994,"California sea lion","NPGO",-1.211598785
1995,"Harbor seal","NPGO",-1.03920855916667
1995,"California sea lion","NPGO",-1.03920855916667
1996,"Steller sea lion","NPGO",-0.972836595
1996,"Harbor seal","NPGO",-0.972836595
1996,"California sea lion","NPGO",-0.972836595
1997,"Steller sea lion","NPGO",-0.657690609166667
1997,"Harbor seal","NPGO",-0.657690609166667
1997,"California sea lion","NPGO",-0.657690609166667
1998,"Harbor seal","NPGO",0.544553275166667
1998,"Steller sea lion","NPGO",0.544553275166667
1998,"California sea lion","NPGO",0.544553275166667
1999,"California sea lion","NPGO",1.51578051666667
1999,"Steller sea lion","NPGO",1.51578051666667
1999,"Harbor seal","NPGO",1.51578051666667
2000,"Harbor seal","NPGO",1.8858613
2000,"California sea lion","NPGO",1.8858613
2001,"Steller sea lion","NPGO",2.08069336666667
2001,"Harbor seal","NPGO",2.08069336666667
2001,"California sea lion","NPGO",2.08069336666667
2002,"Steller sea lion","NPGO",1.4735939275
2002,"Harbor seal","NPGO",1.4735939275
2002,"California sea lion","NPGO",1.4735939275
2003,"California sea lion","NPGO",0.9585072025
2003,"Harbor seal","NPGO",0.9585072025
2003,"Steller sea lion","NPGO",0.9585072025
2004,"California sea lion","NPGO",0.209460254416667
2004,"Harbor seal","NPGO",0.209460254416667
2004,"Steller sea lion","NPGO",0.209460254416667
2005,"Steller sea lion","NPGO",-1.381917955
2005,"California sea lion","NPGO",-1.381917955
2005,"Harbor seal","NPGO",-1.381917955
2006,"Steller sea lion","NPGO",-0.555042004166667
2006,"Harbor seal","NPGO",-0.555042004166667
2006,"California sea lion","NPGO",-0.555042004166667
2007,"California sea lion","NPGO",0.593098209166667
2007,"Harbor seal","NPGO",0.593098209166667
2007,"Steller sea lion","NPGO",0.593098209166667
2008,"Harbor seal","NPGO",1.45527457083333
2008,"California sea lion","NPGO",1.45527457083333
2008,"Steller sea lion","NPGO",1.45527457083333
2009,"Steller sea lion","NPGO",0.73691483
2009,"California sea lion","NPGO",0.73691483
2009,"Harbor seal","NPGO",0.73691483
2010,"Steller sea lion","NPGO",1.3685688725
2010,"Harbor seal","NPGO",1.3685688725
2010,"California sea lion","NPGO",1.3685688725
2011,"Steller sea lion","NPGO",0.857692195833333
2011,"Harbor seal","NPGO",0.857692195833333
2011,"California sea lion","NPGO",0.857692195833333
2012,"Steller sea lion","NPGO",1.4765224
2012,"California sea lion","NPGO",1.4765224
2012,"Harbor seal","NPGO",1.4765224
2013,"Harbor seal","NPGO",0.34436469
2013,"Steller sea lion","NPGO",0.34436469
2013,"California sea lion","NPGO",0.34436469
2014,"Harbor seal","NPGO",-0.251159114166667
2014,"Steller sea lion","NPGO",-0.251159114166667
2014,"California sea lion","NPGO",-0.251159114166667
2015,"Steller sea lion","NPGO",-1.39691805
2015,"Harbor seal","NPGO",-1.39691805
2015,"California sea lion","NPGO",-1.39691805
2016,"California sea lion","NPGO",-0.0616944364166667
2016,"Steller sea lion","NPGO",-0.0616944364166667
2016,"Harbor seal","NPGO",-0.0616944364166667
1989,"California sea lion","PDO",-0.179166666666667
1989,"Harbor seal","PDO",-0.179166666666667
1989,"Steller sea lion","PDO",-0.179166666666667
1990,"Steller sea lion","PDO",-0.355833333333333
1990,"California sea lion","PDO",-0.355833333333333
1990,"Harbor seal","PDO",-0.355833333333333
1991,"Steller sea lion","PDO",-0.419166666666667
1991,"California sea lion","PDO",-0.419166666666667
1991,"Harbor seal","PDO",-0.419166666666667
1992,"Steller sea lion","PDO",0.928333333333333
1992,"Harbor seal","PDO",0.928333333333333
1992,"California sea lion","PDO",0.928333333333333
1993,"Steller sea lion","PDO",1.41666666666667
1993,"Harbor seal","PDO",1.41666666666667
1993,"California sea lion","PDO",1.41666666666667
1994,"Harbor seal","PDO",-0.151666666666667
1994,"Steller sea lion","PDO",-0.151666666666667
1994,"California sea lion","PDO",-0.151666666666667
1995,"Harbor seal","PDO",0.6425
1995,"California sea lion","PDO",0.6425
1996,"Steller sea lion","PDO",0.640833333333333
1996,"Harbor seal","PDO",0.640833333333333
1996,"California sea lion","PDO",0.640833333333333
1997,"Steller sea lion","PDO",1.46083333333333
1997,"Harbor seal","PDO",1.46083333333333
1997,"California sea lion","PDO",1.46083333333333
1998,"Harbor seal","PDO",0.245833333333333
1998,"Steller sea lion","PDO",0.245833333333333
1998,"California sea lion","PDO",0.245833333333333
1999,"California sea lion","PDO",-1.06333333333333
1999,"Steller sea lion","PDO",-1.06333333333333
1999,"Harbor seal","PDO",-1.06333333333333
2000,"Harbor seal","PDO",-0.59
2000,"California sea lion","PDO",-0.59
2001,"Steller sea lion","PDO",-0.5625
2001,"Harbor seal","PDO",-0.5625
2001,"California sea lion","PDO",-0.5625
2002,"Steller sea lion","PDO",0.220833333333333
2002,"Harbor seal","PDO",0.220833333333333
2002,"California sea lion","PDO",0.220833333333333
2003,"California sea lion","PDO",0.969166666666667
2003,"Harbor seal","PDO",0.969166666666667
2003,"Steller sea lion","PDO",0.969166666666667
2004,"California sea lion","PDO",0.345
2004,"Harbor seal","PDO",0.345
2004,"Steller sea lion","PDO",0.345
2005,"Steller sea lion","PDO",0.375
2005,"California sea lion","PDO",0.375
2005,"Harbor seal","PDO",0.375
2006,"Steller sea lion","PDO",0.190833333333333
2006,"Harbor seal","PDO",0.190833333333333
2006,"California sea lion","PDO",0.190833333333333
2007,"California sea lion","PDO",-0.195833333333333
2007,"Harbor seal","PDO",-0.195833333333333
2007,"Steller sea lion","PDO",-0.195833333333333
2008,"Harbor seal","PDO",-1.2925
2008,"California sea lion","PDO",-1.2925
2008,"Steller sea lion","PDO",-1.2925
2009,"Steller sea lion","PDO",-0.6125
2009,"California sea lion","PDO",-0.6125
2009,"Harbor seal","PDO",-0.6125
2010,"Steller sea lion","PDO",-0.3125
2010,"Harbor seal","PDO",-0.3125
2010,"California sea lion","PDO",-0.3125
2011,"Steller sea lion","PDO",-1.23083333333333
2011,"Harbor seal","PDO",-1.23083333333333
2011,"California sea lion","PDO",-1.23083333333333
2012,"Steller sea lion","PDO",-1.1
2012,"California sea lion","PDO",-1.1
2012,"Harbor seal","PDO",-1.1
2013,"Harbor seal","PDO",-0.5175
2013,"Steller sea lion","PDO",-0.5175
2013,"California sea lion","PDO",-0.5175
2014,"Harbor seal","PDO",1.13083333333333
2014,"Steller sea lion","PDO",1.13083333333333
2014,"California sea lion","PDO",1.13083333333333
2015,"Steller sea lion","PDO",1.63416666666667
2015,"Harbor seal","PDO",1.63416666666667
2015,"California sea lion","PDO",1.63416666666667
2016,"California sea lion","PDO",1.5425
2016,"Steller sea lion","PDO",1.5425
2016,"Harbor seal","PDO",1.5425
1989,"California sea lion","SST_39",11.4776363636364
1989,"Harbor seal","SST_39",11.4776363636364
1989,"Steller sea lion","SST_39",11.4776363636364
1990,"Steller sea lion","SST_39",11.8460833333333
1990,"California sea lion","SST_39",11.8460833333333
1990,"Harbor seal","SST_39",11.8460833333333
1991,"Steller sea lion","SST_39",11.3732
1991,"California sea lion","SST_39",11.3732
1991,"Harbor seal","SST_39",11.3732
1992,"Steller sea lion","SST_39",13.29425
1992,"Harbor seal","SST_39",13.29425
1992,"California sea lion","SST_39",13.29425
1993,"Steller sea lion","SST_39",12.3974444444444
1993,"Harbor seal","SST_39",12.3974444444444
1993,"California sea lion","SST_39",12.3974444444444
1994,"Harbor seal","SST_39",11.57525
1994,"Steller sea lion","SST_39",11.57525
1994,"California sea lion","SST_39",11.57525
1995,"Harbor seal","SST_39",12.1486363636364
1995,"California sea lion","SST_39",12.1486363636364
1996,"Steller sea lion","SST_39",12.15075
1996,"Harbor seal","SST_39",12.15075
1996,"California sea lion","SST_39",12.15075
1997,"Steller sea lion","SST_39",13.1489166666667
1997,"Harbor seal","SST_39",13.1489166666667
1997,"California sea lion","SST_39",13.1489166666667
1998,"Harbor seal","SST_39",12.6874545454545
1998,"Steller sea lion","SST_39",12.6874545454545
1998,"California sea lion","SST_39",12.6874545454545
1999,"California sea lion","SST_39",12.0346666666667
1999,"Steller sea lion","SST_39",12.0346666666667
1999,"Harbor seal","SST_39",12.0346666666667
2000,"Harbor seal","SST_39",11.4466666666667
2000,"California sea lion","SST_39",11.4466666666667
2001,"Steller sea lion","SST_39",11.15825
2001,"Harbor seal","SST_39",11.15825
2001,"California sea lion","SST_39",11.15825
2002,"Steller sea lion","SST_39",11.4340909090909
2002,"Harbor seal","SST_39",11.4340909090909
2002,"California sea lion","SST_39",11.4340909090909
2003,"California sea lion","SST_39",11.7205833333333
2003,"Harbor seal","SST_39",11.7205833333333
2003,"Steller sea lion","SST_39",11.7205833333333
2004,"California sea lion","SST_39",12.1420833333333
2004,"Harbor seal","SST_39",12.1420833333333
2004,"Steller sea lion","SST_39",12.1420833333333
2005,"Steller sea lion","SST_39",12.2713333333333
2005,"California sea lion","SST_39",12.2713333333333
2005,"Harbor seal","SST_39",12.2713333333333
2006,"Steller sea lion","SST_39",12.24875
2006,"Harbor seal","SST_39",12.24875
2006,"California sea lion","SST_39",12.24875
2007,"California sea lion","SST_39",11.5585454545455
2007,"Harbor seal","SST_39",11.5585454545455
2007,"Steller sea lion","SST_39",11.5585454545455
2008,"Harbor seal","SST_39",10.93375
2008,"California sea lion","SST_39",10.93375
2008,"Steller sea lion","SST_39",10.93375
2009,"Steller sea lion","SST_39",11.2064166666667
2009,"California sea lion","SST_39",11.2064166666667
2009,"Harbor seal","SST_39",11.2064166666667
2010,"Steller sea lion","SST_39",11.4386666666667
2010,"Harbor seal","SST_39",11.4386666666667
2010,"California sea lion","SST_39",11.4386666666667
2011,"Steller sea lion","SST_39",11.890375
2011,"Harbor seal","SST_39",11.890375
2011,"California sea lion","SST_39",11.890375
2012,"Steller sea lion","SST_39",11.5450833333333
2012,"California sea lion","SST_39",11.5450833333333
2012,"Harbor seal","SST_39",11.5450833333333
2013,"Harbor seal","SST_39",11.3266666666667
2013,"Steller sea lion","SST_39",11.3266666666667
2013,"California sea lion","SST_39",11.3266666666667
2014,"Harbor seal","SST_39",13.16075
2014,"Steller sea lion","SST_39",13.16075
2014,"California sea lion","SST_39",13.16075
2015,"Steller sea lion","SST_39",12.748875
2015,"Harbor seal","SST_39",12.748875
2015,"California sea lion","SST_39",12.748875
2016,"California sea lion","SST_39",12.3861666666667
2016,"Steller sea lion","SST_39",12.3861666666667
2016,"Harbor seal","SST_39",12.3861666666667
1989,"California sea lion","SST_44",NA
1989,"Harbor seal","SST_44",NA
1989,"Steller sea lion","SST_44",NA
1990,"Steller sea lion","SST_44",NA
1990,"California sea lion","SST_44",NA
1990,"Harbor seal","SST_44",NA
1991,"Steller sea lion","SST_44",10.996
1991,"California sea lion","SST_44",10.996
1991,"Harbor seal","SST_44",10.996
1992,"Steller sea lion","SST_44",12.1149166666667
1992,"Harbor seal","SST_44",12.1149166666667
1992,"California sea lion","SST_44",12.1149166666667
1993,"Steller sea lion","SST_44",11.8565833333333
1993,"Harbor seal","SST_44",11.8565833333333
1993,"California sea lion","SST_44",11.8565833333333
1994,"Harbor seal","SST_44",11.99525
1994,"Steller sea lion","SST_44",11.99525
1994,"California sea lion","SST_44",11.99525
1995,"Harbor seal","SST_44",13.49425
1995,"California sea lion","SST_44",13.49425
1996,"Steller sea lion","SST_44",11.780875
1996,"Harbor seal","SST_44",11.780875
1996,"California sea lion","SST_44",11.780875
1997,"Steller sea lion","SST_44",13.6812
1997,"Harbor seal","SST_44",13.6812
1997,"California sea lion","SST_44",13.6812
1998,"Harbor seal","SST_44",13.0315555555556
1998,"Steller sea lion","SST_44",13.0315555555556
1998,"California sea lion","SST_44",13.0315555555556
1999,"California sea lion","SST_44",10.0903333333333
1999,"Steller sea lion","SST_44",10.0903333333333
1999,"Harbor seal","SST_44",10.0903333333333
2000,"Harbor seal","SST_44",11.2718333333333
2000,"California sea lion","SST_44",11.2718333333333
2001,"Steller sea lion","SST_44",11.3287272727273
2001,"Harbor seal","SST_44",11.3287272727273
2001,"California sea lion","SST_44",11.3287272727273
2002,"Steller sea lion","SST_44",11.2370909090909
2002,"Harbor seal","SST_44",11.2370909090909
2002,"California sea lion","SST_44",11.2370909090909
2003,"California sea lion","SST_44",11.9773333333333
2003,"Harbor seal","SST_44",11.9773333333333
2003,"Steller sea lion","SST_44",11.9773333333333
2004,"California sea lion","SST_44",12.5106666666667
2004,"Harbor seal","SST_44",12.5106666666667
2004,"Steller sea lion","SST_44",12.5106666666667
2005,"Steller sea lion","SST_44",12.7262222222222
2005,"California sea lion","SST_44",12.7262222222222
2005,"Harbor seal","SST_44",12.7262222222222
2006,"Steller sea lion","SST_44",11.7273333333333
2006,"Harbor seal","SST_44",11.7273333333333
2006,"California sea lion","SST_44",11.7273333333333
2007,"California sea lion","SST_44",12.0481818181818
2007,"Harbor seal","SST_44",12.0481818181818
2007,"Steller sea lion","SST_44",12.0481818181818
2008,"Harbor seal","SST_44",11.6178
2008,"California sea lion","SST_44",11.6178
2008,"Steller sea lion","SST_44",11.6178
2009,"Steller sea lion","SST_44",11.4874166666667
2009,"California sea lion","SST_44",11.4874166666667
2009,"Harbor seal","SST_44",11.4874166666667
2010,"Steller sea lion","SST_44",12.0105833333333
2010,"Harbor seal","SST_44",12.0105833333333
2010,"California sea lion","SST_44",12.0105833333333
2011,"Steller sea lion","SST_44",12.2397142857143
2011,"Harbor seal","SST_44",12.2397142857143
2011,"California sea lion","SST_44",12.2397142857143
2012,"Steller sea lion","SST_44",11.54
2012,"California sea lion","SST_44",11.54
2012,"Harbor seal","SST_44",11.54
2013,"Harbor seal","SST_44",11.7335833333333
2013,"Steller sea lion","SST_44",11.7335833333333
2013,"California sea lion","SST_44",11.7335833333333
2014,"Harbor seal","SST_44",12.4470833333333
2014,"Steller sea lion","SST_44",12.4470833333333
2014,"California sea lion","SST_44",12.4470833333333
2015,"Steller sea lion","SST_44",13.0754166666667
2015,"Harbor seal","SST_44",13.0754166666667
2015,"California sea lion","SST_44",13.0754166666667
2016,"California sea lion","SST_44",13.0293333333333
