"Year.of.Observation","Pinniped.Common.Name","variable","value"
2016,"Steller sea lion","SST_44",13.0293333333333
2016,"Harbor seal","SST_44",13.0293333333333
1989,"California sea lion","Upwelling_39",51.4292166666667
1989,"Harbor seal","Upwelling_39",51.4292166666667
1989,"Steller sea lion","Upwelling_39",51.4292166666667
1990,"Steller sea lion","Upwelling_39",51.16715
1990,"California sea lion","Upwelling_39",51.16715
1990,"Harbor seal","Upwelling_39",51.16715
1991,"Steller sea lion","Upwelling_39",54.0167583333333
1991,"California sea lion","Upwelling_39",54.0167583333333
1991,"Harbor seal","Upwelling_39",54.0167583333333
1992,"Steller sea lion","Upwelling_39",33.3160916666667
1992,"Harbor seal","Upwelling_39",33.3160916666667
1992,"California sea lion","Upwelling_39",33.3160916666667
1993,"Steller sea lion","Upwelling_39",35.7635583333333
1993,"Harbor seal","Upwelling_39",35.7635583333333
1993,"California sea lion","Upwelling_39",35.7635583333333
1994,"Harbor seal","Upwelling_39",56.7530666666667
1994,"Steller sea lion","Upwelling_39",56.7530666666667
1994,"California sea lion","Upwelling_39",56.7530666666667
1995,"Harbor seal","Upwelling_39",22.6484583333333
1995,"California sea lion","Upwelling_39",22.6484583333333
1996,"Steller sea lion","Upwelling_39",57.3358333333333
1996,"Harbor seal","Upwelling_39",57.3358333333333
1996,"California sea lion","Upwelling_39",57.3358333333333
1997,"Steller sea lion","Upwelling_39",87.4543333333333
1997,"Harbor seal","Upwelling_39",87.4543333333333
1997,"California sea lion","Upwelling_39",87.4543333333333
1998,"Harbor seal","Upwelling_39",54.3282833333333
1998,"Steller sea lion","Upwelling_39",54.3282833333333
1998,"California sea lion","Upwelling_39",54.3282833333333
1999,"California sea lion","Upwelling_39",119.979008333333
1999,"Steller sea lion","Upwelling_39",119.979008333333
1999,"Harbor seal","Upwelling_39",119.979008333333
2000,"Harbor seal","Upwelling_39",92.6549333333333
2000,"California sea lion","Upwelling_39",92.6549333333333
2001,"Steller sea lion","Upwelling_39",122.135866666667
2001,"Harbor seal","Upwelling_39",122.135866666667
2001,"California sea lion","Upwelling_39",122.135866666667
2002,"Steller sea lion","Upwelling_39",103.8053
2002,"Harbor seal","Upwelling_39",103.8053
2002,"California sea lion","Upwelling_39",103.8053
2003,"California sea lion","Upwelling_39",87.0250666666667
2003,"Harbor seal","Upwelling_39",87.0250666666667
2003,"Steller sea lion","Upwelling_39",87.0250666666667
2004,"California sea lion","Upwelling_39",60.149925
2004,"Harbor seal","Upwelling_39",60.149925
2004,"Steller sea lion","Upwelling_39",60.149925
2005,"Steller sea lion","Upwelling_39",59.0830166666667
2005,"California sea lion","Upwelling_39",59.0830166666667
2005,"Harbor seal","Upwelling_39",59.0830166666667
2006,"Steller sea lion","Upwelling_39",89.6762416666667
2006,"Harbor seal","Upwelling_39",89.6762416666667
2006,"California sea lion","Upwelling_39",89.6762416666667
2007,"California sea lion","Upwelling_39",101.763666666667
2007,"Harbor seal","Upwelling_39",101.763666666667
2007,"Steller sea lion","Upwelling_39",101.763666666667
2008,"Harbor seal","Upwelling_39",116.512108333333
2008,"California sea lion","Upwelling_39",116.512108333333
2008,"Steller sea lion","Upwelling_39",116.512108333333
2009,"Steller sea lion","Upwelling_39",90.1843583333333
2009,"California sea lion","Upwelling_39",90.1843583333333
2009,"Harbor seal","Upwelling_39",90.1843583333333
2010,"Steller sea lion","Upwelling_39",62.41455
2010,"Harbor seal","Upwelling_39",62.41455
2010,"California sea lion","Upwelling_39",62.41455
2011,"Steller sea lion","Upwelling_39",100.035358333333
2011,"Harbor seal","Upwelling_39",100.035358333333
2011,"California sea lion","Upwelling_39",100.035358333333
2012,"Steller sea lion","Upwelling_39",102.981908333333
2012,"California sea lion","Upwelling_39",102.981908333333
2012,"Harbor seal","Upwelling_39",102.981908333333
2013,"Harbor seal","Upwelling_39",151.065383333333
2013,"Steller sea lion","Upwelling_39",151.065383333333
2013,"California sea lion","Upwelling_39",151.065383333333
2014,"Harbor seal","Upwelling_39",97.0734083333333
2014,"Steller sea lion","Upwelling_39",97.0734083333333
2014,"California sea lion","Upwelling_39",97.0734083333333
2015,"Steller sea lion","Upwelling_39",91.819675
2015,"Harbor seal","Upwelling_39",91.819675
2015,"California sea lion","Upwelling_39",91.819675
2016,"California sea lion","Upwelling_39",83.759675
2016,"Steller sea lion","Upwelling_39",83.759675
2016,"Harbor seal","Upwelling_39",83.759675
1989,"California sea lion","Upwelling_45",-1.81045
1989,"Harbor seal","Upwelling_45",-1.81045
1989,"Steller sea lion","Upwelling_45",-1.81045
1990,"Steller sea lion","Upwelling_45",-13.33505
1990,"California sea lion","Upwelling_45",-13.33505
1990,"Harbor seal","Upwelling_45",-13.33505
1991,"Steller sea lion","Upwelling_45",-21.1840333333333
1991,"California sea lion","Upwelling_45",-21.1840333333333
1991,"Harbor seal","Upwelling_45",-21.1840333333333
1992,"Steller sea lion","Upwelling_45",-28.825925
1992,"Harbor seal","Upwelling_45",-28.825925
1992,"California sea lion","Upwelling_45",-28.825925
1993,"Steller sea lion","Upwelling_45",-30.73925
1993,"Harbor seal","Upwelling_45",-30.73925
1993,"California sea lion","Upwelling_45",-30.73925
1994,"Harbor seal","Upwelling_45",-29.2570583333333
1994,"Steller sea lion","Upwelling_45",-29.2570583333333
1994,"California sea lion","Upwelling_45",-29.2570583333333
1995,"Harbor seal","Upwelling_45",-44.4648333333333
1995,"California sea lion","Upwelling_45",-44.4648333333333
1996,"Steller sea lion","Upwelling_45",-22.87705
1996,"Harbor seal","Upwelling_45",-22.87705
1996,"California sea lion","Upwelling_45",-22.87705
1997,"Steller sea lion","Upwelling_45",-45.4834666666667
1997,"Harbor seal","Upwelling_45",-45.4834666666667
1997,"California sea lion","Upwelling_45",-45.4834666666667
1998,"Harbor seal","Upwelling_45",-57.2931416666667
1998,"Steller sea lion","Upwelling_45",-57.2931416666667
1998,"California sea lion","Upwelling_45",-57.2931416666667
1999,"California sea lion","Upwelling_45",-74.05335
1999,"Steller sea lion","Upwelling_45",-74.05335
1999,"Harbor seal","Upwelling_45",-74.05335
2000,"Harbor seal","Upwelling_45",-34.8501
2000,"California sea lion","Upwelling_45",-34.8501
2001,"Steller sea lion","Upwelling_45",-34.9395916666667
2001,"Harbor seal","Upwelling_45",-34.9395916666667
2001,"California sea lion","Upwelling_45",-34.9395916666667
2002,"Steller sea lion","Upwelling_45",-39.425025
2002,"Harbor seal","Upwelling_45",-39.425025
2002,"California sea lion","Upwelling_45",-39.425025
2003,"California sea lion","Upwelling_45",-46.2091
2003,"Harbor seal","Upwelling_45",-46.2091
2003,"Steller sea lion","Upwelling_45",-46.2091
2004,"California sea lion","Upwelling_45",-30.3241666666667
2004,"Harbor seal","Upwelling_45",-30.3241666666667
2004,"Steller sea lion","Upwelling_45",-30.3241666666667
2005,"Steller sea lion","Upwelling_45",-22.123925
2005,"California sea lion","Upwelling_45",-22.123925
2005,"Harbor seal","Upwelling_45",-22.123925
2006,"Steller sea lion","Upwelling_45",-33.9206416666667
2006,"Harbor seal","Upwelling_45",-33.9206416666667
2006,"California sea lion","Upwelling_45",-33.9206416666667
2007,"California sea lion","Upwelling_45",-17.00995
2007,"Harbor seal","Upwelling_45",-17.00995
2007,"Steller sea lion","Upwelling_45",-17.00995
2008,"Harbor seal","Upwelling_45",-8.4657
2008,"California sea lion","Upwelling_45",-8.4657
2008,"Steller sea lion","Upwelling_45",-8.4657
2009,"Steller sea lion","Upwelling_45",-21.7834166666667
2009,"California sea lion","Upwelling_45",-21.7834166666667
2009,"Harbor seal","Upwelling_45",-21.7834166666667
2010,"Steller sea lion","Upwelling_45",-56.86565
2010,"Harbor seal","Upwelling_45",-56.86565
2010,"California sea lion","Upwelling_45",-56.86565
2011,"Steller sea lion","Upwelling_45",-31.005225
2011,"Harbor seal","Upwelling_45",-31.005225
2011,"California sea lion","Upwelling_45",-31.005225
2012,"Steller sea lion","Upwelling_45",-46.621225
2012,"California sea lion","Upwelling_45",-46.621225
2012,"Harbor seal","Upwelling_45",-46.621225
2013,"Harbor seal","Upwelling_45",0.634033333333333
2013,"Steller sea lion","Upwelling_45",0.634033333333333
2013,"California sea lion","Upwelling_45",0.634033333333333
2014,"Harbor seal","Upwelling_45",-32.4760166666667
2014,"Steller sea lion","Upwelling_45",-32.4760166666667
2014,"California sea lion","Upwelling_45",-32.4760166666667
2015,"Steller sea lion","Upwelling_45",-19.0296583333333
2015,"Harbor seal","Upwelling_45",-19.0296583333333
2015,"California sea lion","Upwelling_45",-19.0296583333333
2016,"California sea lion","Upwelling_45",-55.372625
2016,"Steller sea lion","Upwelling_45",-55.372625
2016,"Harbor seal","Upwelling_45",-55.372625
1989,"California sea lion","Wind_39",-2.30200818181818
1989,"Harbor seal","Wind_39",-2.30200818181818
1989,"Steller sea lion","Wind_39",-2.30200818181818
1990,"Steller sea lion","Wind_39",-3.0596425
1990,"California sea lion","Wind_39",-3.0596425
1990,"Harbor seal","Wind_39",-3.0596425
1991,"Steller sea lion","Wind_39",-2.390138
1991,"California sea lion","Wind_39",-2.390138
1991,"Harbor seal","Wind_39",-2.390138
1992,"Steller sea lion","Wind_39",-1.55006125
1992,"Harbor seal","Wind_39",-1.55006125
1992,"California sea lion","Wind_39",-1.55006125
1993,"Steller sea lion","Wind_39",-1.96045666666667
1993,"Harbor seal","Wind_39",-1.96045666666667
1993,"California sea lion","Wind_39",-1.96045666666667
1994,"Harbor seal","Wind_39",-2.80351333333333
1994,"Steller sea lion","Wind_39",-2.80351333333333
1994,"California sea lion","Wind_39",-2.80351333333333
1995,"Harbor seal","Wind_39",-0.733636666666667
1995,"California sea lion","Wind_39",-0.733636666666667
1996,"Steller sea lion","Wind_39",-2.0214225
1996,"Harbor seal","Wind_39",-2.0214225
1996,"California sea lion","Wind_39",-2.0214225
1997,"Steller sea lion","Wind_39",-2.5802625
1997,"Harbor seal","Wind_39",-2.5802625
1997,"California sea lion","Wind_39",-2.5802625
1998,"Harbor seal","Wind_39",-1.47188416666667
1998,"Steller sea lion","Wind_39",-1.47188416666667
1998,"California sea lion","Wind_39",-1.47188416666667
1999,"California sea lion","Wind_39",-2.51627
1999,"Steller sea lion","Wind_39",-2.51627
1999,"Harbor seal","Wind_39",-2.51627
2000,"Harbor seal","Wind_39",-1.80908333333333
2000,"California sea lion","Wind_39",-1.80908333333333
2001,"Steller sea lion","Wind_39",-2.24662583333333
2001,"Harbor seal","Wind_39",-2.24662583333333
2001,"California sea lion","Wind_39",-2.24662583333333
2002,"Steller sea lion","Wind_39",-1.88735545454545
2002,"Harbor seal","Wind_39",-1.88735545454545
2002,"California sea lion","Wind_39",-1.88735545454545
2003,"California sea lion","Wind_39",-1.57058083333333
2003,"Harbor seal","Wind_39",-1.57058083333333
2003,"Steller sea lion","Wind_39",-1.57058083333333
2004,"California sea lion","Wind_39",-2.25205583333333
2004,"Harbor seal","Wind_39",-2.25205583333333
2004,"Steller sea lion","Wind_39",-2.25205583333333
2005,"Steller sea lion","Wind_39",-1.6639125
2005,"California sea lion","Wind_39",-1.6639125
2005,"Harbor seal","Wind_39",-1.6639125
2006,"Steller sea lion","Wind_39",-0.45088
2006,"Harbor seal","Wind_39",-0.45088
2006,"California sea lion","Wind_39",-0.45088
2007,"California sea lion","Wind_39",-3.17293
2007,"Harbor seal","Wind_39",-3.17293
2007,"Steller sea lion","Wind_39",-3.17293
2008,"Harbor seal","Wind_39",-3.3257075
2008,"California sea lion","Wind_39",-3.3257075
2008,"Steller sea lion","Wind_39",-3.3257075
2009,"Steller sea lion","Wind_39",-3.15302333333333
2009,"California sea lion","Wind_39",-3.15302333333333
2009,"Harbor seal","Wind_39",-3.15302333333333
2010,"Steller sea lion","Wind_39",-2.14105727272727
2010,"Harbor seal","Wind_39",-2.14105727272727
2010,"California sea lion","Wind_39",-2.14105727272727
2011,"Steller sea lion","Wind_39",-2.605775
2011,"Harbor seal","Wind_39",-2.605775
2011,"California sea lion","Wind_39",-2.605775
2012,"Steller sea lion","Wind_39",-2.62314166666667
2012,"California sea lion","Wind_39",-2.62314166666667
2012,"Harbor seal","Wind_39",-2.62314166666667
2013,"Harbor seal","Wind_39",-3.83557583333333
2013,"Steller sea lion","Wind_39",-3.83557583333333
2013,"California sea lion","Wind_39",-3.83557583333333
2014,"Harbor seal","Wind_39",-1.97883
2014,"Steller sea lion","Wind_39",-1.97883
2014,"California sea lion","Wind_39",-1.97883
2015,"Steller sea lion","Wind_39",-2.8482025
2015,"Harbor seal","Wind_39",-2.8482025
2015,"California sea lion","Wind_39",-2.8482025
2016,"California sea lion","Wind_39",-1.67022833333333
2016,"Steller sea lion","Wind_39",-1.67022833333333
2016,"Harbor seal","Wind_39",-1.67022833333333
1989,"California sea lion","Wind_44",NA
1989,"Harbor seal","Wind_44",NA
1989,"Steller sea lion","Wind_44",NA
1990,"Steller sea lion","Wind_44",NA
1990,"California sea lion","Wind_44",NA
1990,"Harbor seal","Wind_44",NA
1991,"Steller sea lion","Wind_44",2.500107
1991,"California sea lion","Wind_44",2.500107
1991,"Harbor seal","Wind_44",2.500107
1992,"Steller sea lion","Wind_44",-0.795996727272727
1992,"Harbor seal","Wind_44",-0.795996727272727
1992,"California sea lion","Wind_44",-0.795996727272727
1993,"Steller sea lion","Wind_44",0.40495825
1993,"Harbor seal","Wind_44",0.40495825
1993,"California sea lion","Wind_44",0.40495825
1994,"Harbor seal","Wind_44",-1.43980133333333
1994,"Steller sea lion","Wind_44",-1.43980133333333
1994,"California sea lion","Wind_44",-1.43980133333333
1995,"Harbor seal","Wind_44",-0.395890875
1995,"California sea lion","Wind_44",-0.395890875
1996,"Steller sea lion","Wind_44",-0.4232755
1996,"Harbor seal","Wind_44",-0.4232755
1996,"California sea lion","Wind_44",-0.4232755
1997,"Steller sea lion","Wind_44",1.8861516
1997,"Harbor seal","Wind_44",1.8861516
1997,"California sea lion","Wind_44",1.8861516
1998,"Harbor seal","Wind_44",-0.170940666666667
1998,"Steller sea lion","Wind_44",-0.170940666666667
1998,"California sea lion","Wind_44",-0.170940666666667
1999,"California sea lion","Wind_44",0.585029833333333
1999,"Steller sea lion","Wind_44",0.585029833333333
1999,"Harbor seal","Wind_44",0.585029833333333
2000,"Harbor seal","Wind_44",-0.392331818181818
2000,"California sea lion","Wind_44",-0.392331818181818
2001,"Steller sea lion","Wind_44",-1.1233083
2001,"Harbor seal","Wind_44",-1.1233083
2001,"California sea lion","Wind_44",-1.1233083
2002,"Steller sea lion","Wind_44",-0.719580818181818
2002,"Harbor seal","Wind_44",-0.719580818181818
2002,"California sea lion","Wind_44",-0.719580818181818
2003,"California sea lion","Wind_44",0.341928083333333
2003,"Harbor seal","Wind_44",0.341928083333333
2003,"Steller sea lion","Wind_44",0.341928083333333
2004,"California sea lion","Wind_44",-0.277037166666667
2004,"Harbor seal","Wind_44",-0.277037166666667
2004,"Steller sea lion","Wind_44",-0.277037166666667
2005,"Steller sea lion","Wind_44",-0.526458222222222
2005,"California sea lion","Wind_44",-0.526458222222222
2005,"Harbor seal","Wind_44",-0.526458222222222
2006,"Steller sea lion","Wind_44",1.398406
2006,"Harbor seal","Wind_44",1.398406
2006,"California sea lion","Wind_44",1.398406
2007,"California sea lion","Wind_44",-0.0447354545454545
2007,"Harbor seal","Wind_44",-0.0447354545454545
2007,"Steller sea lion","Wind_44",-0.0447354545454545
2008,"Harbor seal","Wind_44",-0.8010407
2008,"California sea lion","Wind_44",-0.8010407
2008,"Steller sea lion","Wind_44",-0.8010407
2009,"Steller sea lion","Wind_44",-0.10389575
2009,"California sea lion","Wind_44",-0.10389575
2009,"Harbor seal","Wind_44",-0.10389575
2010,"Steller sea lion","Wind_44",0.879556333333333
2010,"Harbor seal","Wind_44",0.879556333333333
2010,"California sea lion","Wind_44",0.879556333333333
2011,"Steller sea lion","Wind_44",0.291517727272727
2011,"Harbor seal","Wind_44",0.291517727272727
2011,"California sea lion","Wind_44",0.291517727272727
2012,"Steller sea lion","Wind_44",1.83901057142857
2012,"California sea lion","Wind_44",1.83901057142857
2012,"Harbor seal","Wind_44",1.83901057142857
2013,"Harbor seal","Wind_44",-0.875774416666667
2013,"Steller sea lion","Wind_44",-0.875774416666667
2013,"California sea lion","Wind_44",-0.875774416666667
2014,"Harbor seal","Wind_44",-0.1809957
2014,"Steller sea lion","Wind_44",-0.1809957
2014,"California sea lion","Wind_44",-0.1809957
2015,"Steller sea lion","Wind_44",-1.23257833333333
2015,"Harbor seal","Wind_44",-1.23257833333333
2015,"California sea lion","Wind_44",-1.23257833333333
2016,"California sea lion","Wind_44",1.09313381818182
2016,"Steller sea lion","Wind_44",1.09313381818182
2016,"Harbor seal","Wind_44",1.09313381818182
1989,"California sea lion","SST_39_anom",-0.492903387047735
1989,"Harbor seal","SST_39_anom",-0.492903387047735
1989,"Steller sea lion","SST_39_anom",-0.492903387047735
1990,"Steller sea lion","SST_39_anom",-0.0492483946488297
1990,"California sea lion","SST_39_anom",-0.0492483946488297
1990,"Harbor seal","SST_39_anom",-0.0492483946488297
1991,"Steller sea lion","SST_39_anom",-0.342224996655519
1991,"California sea lion","SST_39_anom",-0.342224996655519
1991,"Harbor seal","SST_39_anom",-0.342224996655519
1992,"Steller sea lion","SST_39_anom",1.0380130511427
1992,"Harbor seal","SST_39_anom",1.0380130511427
1992,"California sea lion","SST_39_anom",1.0380130511427
1993,"Steller sea lion","SST_39_anom",0.273228992320079
1993,"Harbor seal","SST_39_anom",0.273228992320079
1993,"California sea lion","SST_39_anom",0.273228992320079
1994,"Harbor seal","SST_39_anom",-0.320081727982163
1994,"Steller sea lion","SST_39_anom",-0.320081727982163
1994,"California sea lion","SST_39_anom",-0.320081727982163
1995,"Harbor seal","SST_39_anom",0.251989893584676
1995,"California sea lion","SST_39_anom",0.251989893584676
1996,"Steller sea lion","SST_39_anom",0.255418272017837
1996,"Harbor seal","SST_39_anom",0.255418272017837
1996,"California sea lion","SST_39_anom",0.255418272017837
1997,"Steller sea lion","SST_39_anom",1.2535849386845
1997,"Harbor seal","SST_39_anom",1.2535849386845
1997,"California sea lion","SST_39_anom",1.2535849386845
1998,"Harbor seal","SST_39_anom",0.824008744299179
1998,"Steller sea lion","SST_39_anom",0.824008744299179
1998,"California sea lion","SST_39_anom",0.824008744299179
1999,"California sea lion","SST_39_anom",-0.577269230769231
1999,"Steller sea lion","SST_39_anom",-0.577269230769231
1999,"Harbor seal","SST_39_anom",-0.577269230769231
2000,"Harbor seal","SST_39_anom",-0.448665061315496
2000,"California sea lion","SST_39_anom",-0.448665061315496
2001,"Steller sea lion","SST_39_anom",-0.737081727982163
2001,"Harbor seal","SST_39_anom",-0.737081727982163
2001,"California sea lion","SST_39_anom",-0.737081727982163
2002,"Steller sea lion","SST_39_anom",-0.483710975980542
2002,"Harbor seal","SST_39_anom",-0.483710975980542
2002,"California sea lion","SST_39_anom",-0.483710975980542
2003,"California sea lion","SST_39_anom",-0.17474839464883
2003,"Harbor seal","SST_39_anom",-0.17474839464883
2003,"Steller sea lion","SST_39_anom",-0.17474839464883
2004,"California sea lion","SST_39_anom",0.24675160535117
2004,"Harbor seal","SST_39_anom",0.24675160535117
2004,"Steller sea lion","SST_39_anom",0.24675160535117
2005,"Steller sea lion","SST_39_anom",0.37600160535117
2005,"California sea lion","SST_39_anom",0.37600160535117
2005,"Harbor seal","SST_39_anom",0.37600160535117
2006,"Steller sea lion","SST_39_anom",0.218033830128205
2006,"Harbor seal","SST_39_anom",0.218033830128205
2006,"California sea lion","SST_39_anom",0.218033830128205
2007,"California sea lion","SST_39_anom",-0.338101015506234
2007,"Harbor seal","SST_39_anom",-0.338101015506234
2007,"Steller sea lion","SST_39_anom",-0.338101015506234
2008,"Harbor seal","SST_39_anom",-0.961581727982163
2008,"California sea lion","SST_39_anom",-0.961581727982163
2008,"Steller sea lion","SST_39_anom",-0.961581727982163
2009,"Steller sea lion","SST_39_anom",-0.688915061315497
2009,"California sea lion","SST_39_anom",-0.688915061315497
2009,"Harbor seal","SST_39_anom",-0.688915061315497
2010,"Steller sea lion","SST_39_anom",-0.456665061315497
2010,"Harbor seal","SST_39_anom",-0.456665061315497
2010,"California sea lion","SST_39_anom",-0.456665061315497
2011,"Steller sea lion","SST_39_anom",-0.412918615523969
2011,"Harbor seal","SST_39_anom",-0.412918615523969
2011,"California sea lion","SST_39_anom",-0.412918615523969
2012,"Steller sea lion","SST_39_anom",-0.35024839464883
2012,"California sea lion","SST_39_anom",-0.35024839464883
2012,"Harbor seal","SST_39_anom",-0.35024839464883
2013,"Harbor seal","SST_39_anom",-0.568665061315497
2013,"Steller sea lion","SST_39_anom",-0.568665061315497
2013,"California sea lion","SST_39_anom",-0.568665061315497
2014,"Harbor seal","SST_39_anom",1.26541827201784
2014,"Steller sea lion","SST_39_anom",1.26541827201784
2014,"California sea lion","SST_39_anom",1.26541827201784
2015,"Steller sea lion","SST_39_anom",0.994586366360089
2015,"Harbor seal","SST_39_anom",0.994586366360089
2015,"California sea lion","SST_39_anom",0.994586366360089
2016,"California sea lion","SST_39_anom",1.15397914251208
2016,"Steller sea lion","SST_39_anom",1.15397914251208
2016,"Harbor seal","SST_39_anom",1.15397914251208
1989,"California sea lion","SST_44_anom",NA
1989,"Harbor seal","SST_44_anom",NA
1989,"Steller sea lion","SST_44_anom",NA
1990,"Steller sea lion","SST_44_anom",NA
1990,"California sea lion","SST_44_anom",NA
1990,"Harbor seal","SST_44_anom",NA
1991,"Steller sea lion","SST_44_anom",-0.519979166666666
1991,"California sea lion","SST_44_anom",-0.519979166666666
1991,"Harbor seal","SST_44_anom",-0.519979166666666
1992,"Steller sea lion","SST_44_anom",0.132396949038439
1992,"Harbor seal","SST_44_anom",0.132396949038439
1992,"California sea lion","SST_44_anom",0.132396949038439
1993,"Steller sea lion","SST_44_anom",-0.125936384294894
1993,"Harbor seal","SST_44_anom",-0.125936384294894
1993,"California sea lion","SST_44_anom",-0.125936384294894
1994,"Harbor seal","SST_44_anom",0.285567045454546
1994,"Steller sea lion","SST_44_anom",0.285567045454546
1994,"California sea lion","SST_44_anom",0.285567045454546
1995,"Harbor seal","SST_44_anom",0.689172945487483
1995,"California sea lion","SST_44_anom",0.689172945487483
1996,"Steller sea lion","SST_44_anom",0.00122929625199331
1996,"Harbor seal","SST_44_anom",0.00122929625199331
1996,"California sea lion","SST_44_anom",0.00122929625199331
1997,"Steller sea lion","SST_44_anom",1.6993191370224
1997,"Harbor seal","SST_44_anom",1.6993191370224
1997,"California sea lion","SST_44_anom",1.6993191370224
1998,"Harbor seal","SST_44_anom",0.498561136729615
1998,"Steller sea lion","SST_44_anom",0.498561136729615
1998,"California sea lion","SST_44_anom",0.498561136729615
1999,"California sea lion","SST_44_anom",-1.00257504131706
1999,"Steller sea lion","SST_44_anom",-1.00257504131706
1999,"Harbor seal","SST_44_anom",-1.00257504131706
2000,"Harbor seal","SST_44_anom",-0.710686384294894
2000,"California sea lion","SST_44_anom",-0.710686384294894
2001,"Steller sea lion","SST_44_anom",-0.737566964685339
2001,"Harbor seal","SST_44_anom",-0.737566964685339
2001,"California sea lion","SST_44_anom",-0.737566964685339
2002,"Steller sea lion","SST_44_anom",-0.893263934382309
2002,"Harbor seal","SST_44_anom",-0.893263934382309
2002,"California sea lion","SST_44_anom",-0.893263934382309
2003,"California sea lion","SST_44_anom",-0.00518638429489426
2003,"Harbor seal","SST_44_anom",-0.00518638429489426
2003,"Steller sea lion","SST_44_anom",-0.00518638429489426
2004,"California sea lion","SST_44_anom",0.528146949038439
2004,"Harbor seal","SST_44_anom",0.528146949038439
2004,"Steller sea lion","SST_44_anom",0.528146949038439
2005,"Steller sea lion","SST_44_anom",0.150748173766652
2005,"California sea lion","SST_44_anom",0.150748173766652
2005,"Harbor seal","SST_44_anom",0.150748173766652
2006,"Steller sea lion","SST_44_anom",-0.255186384294894
2006,"Harbor seal","SST_44_anom",-0.255186384294894
2006,"California sea lion","SST_44_anom",-0.255186384294894
2007,"California sea lion","SST_44_anom",-0.0181124192307939
2007,"Harbor seal","SST_44_anom",-0.0181124192307939
2007,"Steller sea lion","SST_44_anom",-0.0181124192307939
2008,"Harbor seal","SST_44_anom",-0.711716643610014
2008,"California sea lion","SST_44_anom",-0.711716643610014
2008,"Steller sea lion","SST_44_anom",-0.711716643610014
2009,"Steller sea lion","SST_44_anom",-0.495103050961561
2009,"California sea lion","SST_44_anom",-0.495103050961561
2009,"Harbor seal","SST_44_anom",-0.495103050961561
2010,"Steller sea lion","SST_44_anom",0.0280636157051058
2010,"Harbor seal","SST_44_anom",0.0280636157051058
2010,"California sea lion","SST_44_anom",0.0280636157051058
2011,"Steller sea lion","SST_44_anom",-0.162109707321664
2011,"Harbor seal","SST_44_anom",-0.162109707321664
2011,"California sea lion","SST_44_anom",-0.162109707321664
2012,"Steller sea lion","SST_44_anom",-0.442519717628228
2012,"California sea lion","SST_44_anom",-0.442519717628228
2012,"Harbor seal","SST_44_anom",-0.442519717628228
2013,"Harbor seal","SST_44_anom",-0.248936384294894
2013,"Steller sea lion","SST_44_anom",-0.248936384294894
2013,"California sea lion","SST_44_anom",-0.248936384294894
2014,"Harbor seal","SST_44_anom",0.464563615705106
2014,"Steller sea lion","SST_44_anom",0.464563615705106
2014,"California sea lion","SST_44_anom",0.464563615705106
2015,"Steller sea lion","SST_44_anom",1.09289694903844
2015,"Harbor seal","SST_44_anom",1.09289694903844
2015,"California sea lion","SST_44_anom",1.09289694903844
2016,"California sea lion","SST_44_anom",1.04681361570511
2016,"Steller sea lion","SST_44_anom",1.04681361570511
2016,"Harbor seal","SST_44_anom",1.04681361570511
